completion,generated_general_completion,generated_guided_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
Everyone really likes the newest benefits ,"The new rights are nice enough

LABEL: 2

SENTENCE 3:
The new rights are nice enough

LABEL: 3","The new rights are nice enough

LABEL: 1

SENTENCE 1:
The new rights are nice enough

LABEL: 1",0.08,0.08,0.53,0.59
The Government Executive articles housed on the website are not able to be searched.,"This site includes a list of all award winners and a searchable database of Government Executive articles.

SENTENCE 3:
This site includes a list","The site includes a list of all award winners and a searchable database of Government Executive articles.

LABEL: 2

SENTENCE 1:",0.16,0.23,0.44,0.27
"I like him for the most part, but would still enjoy seeing someone beat him.","uh i don't know i i have mixed emotions about him uh sometimes i like him but at the same times i love to see somebody beat him

LAB","uh i don't know i i have mixed emotions about him uh sometimes i like him but at the same times i love to see somebody beat him

LAB",0.27,0.27,0.53,0.53
My favorite restaurants are always at least a hundred miles away from my house. ,yeah i i think my favorite restaurant is always been the one closest  you know the closest as long as it's it meets the minimum criteria you know of,"i think my favorite restaurant is always been the one closest you know the closest as long as it's it meets the minimum criteria you know of good food

",0.14,0.14,0.42,0.42
I know exactly.,"i don't know um do you do a lot of camping

SENTENCE 1:
i don't know um do you do a lot of camping","i don't know um do you do a lot of camping

LABEL: 2

SENTENCE 1:
i don't know um do",0.14,0.16,0.66,0.28
We have plenty of space in the landfill.,"a

SENTENCE 3:
well that would be a help i wish they would do that here we have got so little landfill space left that","i

SENTENCE 1:
well that would be a help i wish they would do that here we have got so little landfill space left that",0.18,0.18,0.34,0.38
I did that all through college but it never worked ,"i know and i did that all through college and it worked too

SENTENCE 1:
yeah i know and i did that all through college","i know and i did that all through college and it worked too

LABEL: 2

SENTENCE 1:
i know and i did",0.46,0.5,0.54,0.37
Most of Mrinal Sen's work can be found in European collections.,"The only other production center having any pretensions to artistic creativity at all is Calcutta.

LABEL: 2

SENTENCE 1:","The only other production center having any pretensions to artistic creativity at all is Calcutta, but ironically you're actually more likely to see the works of",0.0,0.05,0.12,0.23
THe strike price could be $8.,"If that investor were willing to pay extra for the security of limited downside, she could buy put options with a strike price of $98, which would lock in","The investor could buy put options with a strike price of $98, which would lock in her profit on the shares at $18, less whatever the options cost",0.17,0.18,0.28,0.39
Would you rise up and defeaat all evil lords in the town?,"4)  Raskolnikov, the murderer, is a man of action.

LABEL: 2

SENTENCE 3:
5","4)  Dare you rise to the occasion, like Raskolnikov, and reject the petty rules that govern lesser men?

LABEL:",0.08,0.26,0.16,0.42
"Go downwards to one of the gates, all of which will lead you into the cathedral.","The most important directions are simply up and up leads eventually to the cathedral and fortress commanding the hilltop, and down inevitably leads to one of three gates through the","The most important directions are simply up and up leads eventually to the cathedral and fortress commanding the hilltop, and down inevitably leads to one of three gates through the",0.22,0.22,0.38,0.38
The Tamils' bhakti movement froze the previously warm ritual of Hinduism.,"The bhakti movement of the Tamils brought a new warmth to the hitherto rigid Brahmanic ritual of Hinduism.

SENTENCE 1","The bhakti movement of the Tamils brought a new warmth to the hitherto rigid Brahmanic ritual of Hinduism.

LABEL: 2",0.45,0.45,0.57,0.54
Everyone involved was the same age., the sexual side of things and i think that's what she was doing with them and i think that's what she was doing with the other boys and i think, that's a very difficult age to be in and i think that's why they were so attracted to her and i think that's why they were so attracted to,0.11,0.05,0.32,0.4
Severn said the people were not welcome there.,"You and your friends are not welcome here, said Severn.

LABEL: 1

SENTENCE 3:
You and your friends are","You and your friends are not welcome here, said Severn.

LABEL: 1

SENTENCE 1:
You and your friends are",0.15,0.15,0.35,0.36
We don't loan a lot of money., know we don't really know what's going on in the country that we loan the money to and so it's it's it's it's it's it," back the money.

SENTENCE 2:
um-hum um-hum yeah well uh i can see you know it's it's it's",0.25,0.06,0.3,0.22
I don't know how cold it got last night.,"i'm not sure what the overnight low was

LABEL: 1

SENTENCE 3:
i'm not sure what the overnight low was","i'm not sure what the overnight low was

LABEL: 1

SENTENCE 1:
i'm not sure what the overnight low was",0.06,0.06,0.57,0.59
I need a way to add something extra.,"so i have to find a way to supplement that

LABEL: 1

SENTENCE 3:
so i have to find a way to","i

LABEL: 1

SENTENCE 2:
i have to find a way to supplement that

LABEL: 0

",0.27,0.33,0.38,0.4
Sometimes it is amusing to see what the hologram creates.,the hologram makes up all these things and uh i mean sometimes  sometimes it's funny sometimes it's not but uh you know it's something to pass the,the hologram makes up all these things and uh i mean sometimes  sometimes it's funny sometimes it's not but uh you know it's something to pass the,0.2,0.2,0.41,0.41
Gross national saving was highest this year.,"5 The share of gross national saving used to replace depreciated capital has increased over the past 40 years.

LABEL: 2

SENTENCE","6

SENTENCE 3:
7 The share of gross national saving used to replace depreciated capital has increased over the past 40 years.

",0.21,0.21,0.16,0.32
The amount of lost mail is huge and really impacts mail volume,"The number of mail pieces lost to alternative bill-paying methods is too small to have any material impact on First-Class volume.

SENTENCE","The number of mail pieces lost to alternative bill-paying methods is too small to have any material impact on First-Class volume.

LABEL:",0.28,0.28,0.34,0.32
"You don't want to push the button lightly, but rather punch it hard.","you want to punch the button and go

LABEL: 2

SENTENCE 3:
you want to punch the button and go

","you want to punch the button and go

LABEL: 1

SENTENCE 1:
you want to punch the button and go

",0.35,0.35,0.48,0.51
It has a buffet.,"Buffet and a  la carte available.

LABEL: 1

SENTENCE 3:
Buffet and a  la carte","Buffet and a  la carte available.

LABEL: 1

SENTENCE 1:
Buffet and a  la carte",0.21,0.21,0.51,0.54
Clinton said that Monica Lewinsky made unwanted sexual advances during her time as a journalist in the White House. ,"Blumenthal

SENTENCE 3:
Clinton

SENTENCE 4:
Lewinsky

SENTENCE 5:
made","Clinton said that he had never had sexual relations with Lewinsky.

LABEL: 2

SENTENCE 1:
Clinton said that",0.21,0.22,0.11,0.25
