loss,zlib,mink_0.1,mink_0.2,mink_0.3,mink_0.4,mink_0.5,mink_0.6,mink_0.7,mink_0.8,mink_0.9,mink_1.0,mink++_0.1,mink++_0.2,mink++_0.3,mink++_0.4,mink++_0.5,mink++_0.6,mink++_0.7,mink++_0.8,mink++_0.9,mink++_1.0
-2.2478740215301514,-0.012557955427542745,-9.146632194519043,-7.67720365524292,-6.084993362426758,-5.0065388679504395,-4.258022785186768,-3.673534631729126,-3.203687906265259,-2.8141255378723145,-2.5006563663482666,-2.247873544692993,-2.5140326023101807,-1.726569414138794,-1.201429843902588,-0.8766024708747864,-0.6639176607131958,-0.5059810280799866,-0.38170185685157776,-0.26846227049827576,-0.14697037637233734,-0.018689420074224472
-2.4231886863708496,-0.013098317223626215,-8.939786911010742,-7.729587078094482,-6.492638111114502,-5.509211540222168,-4.641048431396484,-3.97011661529541,-3.4968419075012207,-3.054229736328125,-2.703619956970215,-2.4231889247894287,-2.448410749435425,-1.708601713180542,-1.2362979650497437,-0.9385889172554016,-0.7142417430877686,-0.5469813942909241,-0.429988294839859,-0.3141501545906067,-0.19735945761203766,-0.0667312890291214
-2.1718077659606934,-0.010968726090710573,-8.452447891235352,-6.998204708099365,-5.763854503631592,-4.8185014724731445,-4.107177734375,-3.5433380603790283,-3.082811117172241,-2.710926055908203,-2.412693977355957,-2.1718082427978516,-2.291301727294922,-1.487689733505249,-0.9874816536903381,-0.7092715501785278,-0.5222093462944031,-0.3836826980113983,-0.27257898449897766,-0.16809667646884918,-0.061548564583063126,0.052145928144454956
-2.7369565963745117,-0.015376160653789392,-10.309745788574219,-8.813671112060547,-7.486981391906738,-6.275406360626221,-5.2267255783081055,-4.499166488647461,-3.9221231937408447,-3.4532949924468994,-3.0785393714904785,-2.7369565963745117,-2.9612834453582764,-2.146088123321533,-1.6160930395126343,-1.2211008071899414,-0.9326200485229492,-0.7545287609100342,-0.6107738018035889,-0.4871310591697693,-0.3643169105052948,-0.20755726099014282
-2.4936280250549316,-0.011386429338150372,-9.6414155960083,-8.020209312438965,-6.686831474304199,-5.551090240478516,-4.712826728820801,-4.068090438842773,-3.596397638320923,-3.113020181655884,-2.7701261043548584,-2.4936273097991943,-2.8212950229644775,-1.9128937721252441,-1.3881468772888184,-1.0430753231048584,-0.8122959733009338,-0.6434056162834167,-0.5208725929260254,-0.38189780712127686,-0.25273531675338745,-0.1178884506225586
-2.4079132080078125,-0.01192036241588026,-9.34941577911377,-8.042621612548828,-6.652320861816406,-5.406099796295166,-4.619653701782227,-3.982619047164917,-3.421048402786255,-3.0230648517608643,-2.7001240253448486,-2.4079132080078125,-2.565058708190918,-1.7634869813919067,-1.2355855703353882,-0.8793113827705383,-0.675632894039154,-0.523744523525238,-0.38703373074531555,-0.2839837670326233,-0.17976324260234833,-0.04483652859926224
-2.3159565925598145,-0.01169675046747381,-9.200883865356445,-7.876395225524902,-6.4841532707214355,-5.369654655456543,-4.439228057861328,-3.807344675064087,-3.3141610622406006,-2.9182353019714355,-2.6011626720428467,-2.3159561157226562,-2.6877408027648926,-1.8557767868041992,-1.3078277111053467,-0.969511866569519,-0.7233911156654358,-0.5623437762260437,-0.4277636408805847,-0.31136271357536316,-0.19404463469982147,-0.051737528294324875
-2.2592952251434326,-0.013289971912608427,-8.916802406311035,-7.704766273498535,-6.193621635437012,-5.125380992889404,-4.288196563720703,-3.708988904953003,-3.255086898803711,-2.8298115730285645,-2.5325939655303955,-2.2592949867248535,-2.3352930545806885,-1.6295815706253052,-1.1090039014816284,-0.8233853578567505,-0.6082663536071777,-0.46903669834136963,-0.35483744740486145,-0.23631423711776733,-0.1385643482208252,-0.012360903434455395
-2.2921054363250732,-0.010914787792024159,-8.864971160888672,-7.319018363952637,-6.204072952270508,-5.13828706741333,-4.33740234375,-3.770066499710083,-3.2629292011260986,-2.894325017929077,-2.5595192909240723,-2.2921054363250732,-2.351179361343384,-1.576526165008545,-1.1136021614074707,-0.8017504811286926,-0.6007582545280457,-0.46532511711120605,-0.3389863669872284,-0.24035167694091797,-0.1317085474729538,-0.011226974427700043
-2.4871482849121094,-0.011843563261486235,-9.64970588684082,-8.222160339355469,-6.729425430297852,-5.6205949783325195,-4.713991641998291,-4.080642223358154,-3.578031301498413,-3.114318609237671,-2.785109281539917,-2.4871487617492676,-2.549898624420166,-1.8284966945648193,-1.3258534669876099,-0.9939762353897095,-0.7513468265533447,-0.5921634435653687,-0.46162527799606323,-0.3282277286052704,-0.20914027094841003,-0.0706360787153244
