completion,generated_general_completion,generated_guided_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
"If a substance has a ph value greater than 7,that indicates that it is base.","Based on the list provided of the uses of substances 1-7, estimate the pH of each unknown and record the number in the data table in the estimated pH","Based on the list provided of the uses of substances 1-7, estimate the pH of each unknown and record the number in the data table in the estimated pH",0.04,0.04,0.4,0.4
Invertebrates (and higher animals) can also be placed in one of two groups based on how they develop as embryos.,"If one or two            base pairs are changed (mutated), the embryo will fail to develop properly.
","The embryo will fail to develop properly if one or two base pairs are changed (mutated).

LABEL: neutral

SENTENCE 3:",0.17,0.1,0.33,0.16
Gases and liquids become solids at low temperatures.,"The solid dye converts into a gas without ever becoming a liquid.

LABEL:

SENTENCE 3:
The solid dye converts into a","The solid dye converts into a gas without ever becoming a liquid.

LABEL: liquid

SENTENCE 3:
The solid dye converts into",0.0,0.0,0.36,0.32
The behavior of ideal gases is explained by kinetic molecular theory.,"Chapter 12 Gas and Kinetic Theory .

LABEL:

SENTENCE 3:
Chapter 13 Gas and Kinetic Theory .

LAB","
Chapter 11 Gas and Kinetic Theory .

LABEL: neutral

SENTENCE 3:

Chapter 11 Gas and Kinetic Theory .",0.15,0.15,0.42,0.5
Gabbro is a dark dense rock that can be found in the oceanic crust.,"The continental crust is less dense than the oceanic crust.

LABEL: continental

SENTENCE 3:
The continental crust is less dense","The continental crust is less dense than the oceanic crust.

LABEL: continental

SENTENCE 3:
The continental crust is less dense",0.29,0.29,0.35,0.35
Angiosperms are the most successful phylum of plants.,"The phylum for common marigolds is angiosperms.

LABEL: neutral

SENTENCE 3:
The phylum for","The phylum for common marigolds is angiosperms.

LABEL: neutral

SENTENCE 3:
The phylum for",0.27,0.27,0.24,0.24
Lyme disease is caused by bacteria.,"Lyme  Disease is caused by a bacterium that's transmitted by tick bite, but many infected people don't remember a bite.

LABEL:","Lyme  Disease is caused by a bacterium that's transmitted by tick bite, but many infected people don't remember a bite.

LABEL:",0.34,0.34,0.41,0.41
All of the petals together are called a corolla.,"The petals of a flower are called corolla.

LABEL: entails

SENTENCE 3:
The petals of a flower are","The petals of a flower are called corolla.

LABEL: corolla

SENTENCE 3:
The petals of a flower",0.37,0.38,0.4,0.61
A(n) polyploid is an individual with more than the correct number of chromosome sets.,"A polyploid is simply an organism that contains more than the usual two sets of chromosomes.

LABEL: entails

SENTENCE 3:","The number of chromosomes in a polyploid organism is the sum of the number of chromosomes in the two sets of chromosomes.

LABEL: entails
",0.46,0.36,0.26,0.27
Diabetes is unpreventable in the type one form but may be prevented by diet if it is of the second type.,"Because type 1 diabetes is a relatively rare disease, you may wish to focus on prevention only if you know your child is at special risk for the disease.
","Because type 1 diabetes is a relatively rare disease, you may wish to focus on prevention only if you know your child is at special risk for the disease.
",0.24,0.24,0.46,0.46
The gallbladder is near the right lobe of the liver.,"The liver is divided into the right lobe and left lobes.

LABEL:
The liver is divided into the right lobe and left lobes.","The liver is divided into the right lobe and left lobes.

LABEL:

SENTENCE 3:
The liver is divided into the",0.42,0.47,0.66,0.31
Nematodes can be a parasite of both.,"This can be dangerous to both plants and animals.

LABEL: dangerous

SENTENCE 3:
This can be dangerous to both plants and","The plant is a member of the family Solanaceae.

LABEL: plant

SENTENCE 3:
The plant is a member of",0.21,0.15,0.4,0.26
