completion,generated_general_completion,generated_guided_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
The carrot had a hole.,"I stuck a pin through a carrot. When I pulled the pin out, it had a hole.

LABEL: 2

SENTENCE 3","I stuck a pin through a carrot. When I pulled the pin out, it had a hole.

LABEL: 2

SENTENCE 3",0.31,0.31,0.34,0.34
John is so short.,"Billy is so short that he can't see the stage with John in front of him.

LABEL: 2

SENTENCE 3:
","John couldn't see the stage with Billy in front of him because he is so short.

LABEL: 2

SENTENCE 3:
",0.24,0.32,0.26,0.3
The police were trying to stop the drug trade in the neighborhood.,"The police arrested all of the gang members. They were trying to stop the drug trade in the neighborhood.

LABEL: 2

SENTENCE","The police arrested all of the gang members. They were trying to stop the drug trade in the neighborhood.

LABEL: 2

SENTENCE",0.71,0.71,0.46,0.46
Steve influences him hugely.,"Steve follows Fred's example in everything. He influences him hugely.

LABEL: 1

SENTENCE 3:
Steve follows Fred's example","Steve follows Fred's example in everything. He influences him hugely.

LABEL: 1

SENTENCE 3:
Steve follows Fred's example",0.33,0.33,0.65,0.65
"mother was careful not to disturb her, undressing and climbing back into her berth.",Tatyana was surprised to see her mother asleep. She was not sure what to do. She was afraid that her mother would wake up and find her,"Tatyana was surprised to see her mother asleep. She was not sure if she should wake her up.

LABEL: 1

S",0.34,0.23,0.32,0.15
George was particularly eager to see it.,"George got free tickets to the play, but he gave them to Eric, because he was particularly eager to see it.

LABEL: 1

","George got free tickets to the play, but he gave them to Eric, because he was particularly eager to see it.

LABEL: 1

",0.47,0.47,0.42,0.42
John was very impressive.,"John was jogging through the park when he saw a man juggling watermelons. He was very impressive.

LABEL: 1

SENT","John was jogging through the park when he saw a man juggling watermelons. He was very impressive.

LABEL: 1

SENT",0.33,0.33,0.3,0.3
The pot was too tall.,"I couldn't put the pot on the shelf because it was too tall.

LABEL: 2

SENTENCE 3:
I couldn't","I couldn't put the pot on the shelf because it was too tall.

LABEL: 2

SENTENCE 3:
I couldn't",0.38,0.38,0.34,0.34
There were simply not enough copies of the newsletter.,"We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply not enough of them.

LABEL:","We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply not enough of them.

LABEL:",0.35,0.35,0.37,0.37
The judges were so advanced.,"The chatbots were so advanced that they could even answer questions about themselves.

LABEL: 1

SENTENCE 3:
The chatbots","The chatbots were so advanced that they could even answer questions about the Loebner competition.

LABEL: 1

SENTENCE 3:",0.33,0.33,0.29,0.18
I took the water bottle out of the backpack so that the backpack would be lighter.,"I took the water bottle out of the backpack so that it would be lighter.

LABEL: 2

SENTENCE 3:
I took","I took the water bottle out of the backpack so that it would be lighter.

LABEL: 2

SENTENCE 3:
I took",0.76,0.76,0.43,0.43
