completion,generated_general_completion,generated_guided_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
The church is filled with song.,"The church choir sings to the masses as they sing joyous songs from the book.

LABEL: 1

SENTENCE 3:
The","The church choir sings to the masses as they sing joyous songs from the book.

LABEL: 1

SENTENCE 1:
This",0.15,0.15,0.19,0.24
A choir singing at a baseball game.,"The church choir sings to the masses as they sing joyous songs from the book.

SENTENCE 1:
This church choir sings to the masses","The church choir sings to the masses as they sing joyous songs from the book.

LABEL: 1

SENTENCE 1:
This",0.06,0.07,0.45,0.17
The woman is very happy.,"A woman with a green headscarf, blue shirt and a very big grin.

LABEL: 1

SENTENCE 3:
A","A woman with a green headscarf, blue shirt and a very big grin.

LABEL: 1

SENTENCE 3:
A",0.17,0.17,0.21,0.21
The woman has been shot.,"A woman with a green headscarf, blue shirt and a very big grin.

SENTENCE 1:
A woman with a green headscar","A woman with a green headscarf, blue shirt and a very big grin.

SENTENCE 1:
A woman with a green headscar",0.08,0.08,0.39,0.39
A man poses in front of an ad.,"The old man is a customer.

LABEL: 1

SENTENCE 3:
The old man is a customer.

LABEL","The old man with a package poses in front of an advertisement.

LABEL: 1

SENTENCE 1:
An old man with a",0.16,0.41,0.46,0.34
A man walks by an ad.,"The old man is a customer.

SENTENCE 3:
The old man is a customer of the store.

SENTENCE 4:","The old man with a package poses in front of an advertisement.

SENTENCE 1:
An old man with a package poses in front of an",0.16,0.19,0.46,0.55
There is a statue that not many people seem to be interested in.,"A statue at a museum that no seems to be looking at.

LABEL: 1

SENTENCE 3:
A statue at a museum","A statue at a museum that no seems to be looking at.

LABEL: 1

SENTENCE 1:
A statue at a museum",0.29,0.29,0.45,0.46
Tons of people are gathered around the statue.,"A statue at a museum that no seems to be looking at.

A statue at a museum that no seems to be looking at.

A statue","A statue at a museum that no seems to be looking at.

LABEL: 2

SENTENCE 1:
A statue at a museum",0.06,0.07,0.43,0.3
A Land Rover is splashing water as it crosses a river.,"The land rover is being driven across a river.

LABEL: 1

SENTENCE 3:
The land rover is being driven","The car is being driven across the river.

LABEL: 1

SENTENCE 3:
The car is being driven across the river.",0.33,0.13,0.39,0.53
A vehicle is crossing a river.,"The land rover is being driven across a river.

LABEL: 1

SENTENCE 3:
The land rover is being driven","The car is being driven across the river.

LABEL: 1

SENTENCE 3:
The car is being driven across the river.",0.24,0.15,0.42,0.64
A sedan is stuck in the middle of a river.,"The river is wide.

SENTENCE 1:
The river is wide.

LABEL: 1

SENTENCE 2:
","A land rover is being driven across a river.

LABEL: 2

SENTENCE 1:
A land rover is being driven",0.25,0.28,0.4,0.35
A man playing banjo on the floor.,"A man playing an electric guitar on stage.

SENTENCE 3:
A man playing an electric guitar on stage.

LABEL: 3","A man playing an electric guitar on stage.

SENTENCE 1:
A man playing an electric guitar on stage.

LABEL: 2",0.3,0.3,0.56,0.51
A man playing guitar on stage.,"A man playing an electric guitar on stage.

LABEL: 1

SENTENCE 3:
A man playing an electric guitar on stage.","A man playing an electric guitar on stage.

LABEL: 1

SENTENCE 3:
A man playing an electric guitar on stage.",0.46,0.46,0.71,0.71
A doctor is looking at a book,"The doctor and her assistant were looking through the new medical manuals.

LABEL: 1

SENTENCE 3:
The doctor and her","The doctor and her assistant were looking through the new medical manuals.

LABEL: 1

SENTENCE 1:
A blond-haired",0.15,0.23,0.26,0.18
A man is eating pb and j,"The doctor and her assistant were looking through the new medical manuals.

SENTENCE 3:
The doctor and her assistant were looking through the new","The doctor and her assistant were looking through the new medical manuals.

LABEL: 1

SENTENCE 1:
A blond-haired",0.06,0.08,0.31,0.1
A boy runs into a wall,"The girl is running and leaning over the object.

The girl is sitting on the ground.

The girl is running and leaning over the object.","One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.

SENT",0.0,0.12,0.57,0.23
A tan girl runs leans over an object,"The girl is running and leaning over the object.

The girl is sitting on the ground.

The girl is running and leaning over the object.","The girl is running and leaning over an object, while another person in a wool hat is sitting on the ground.

LABEL: 1

S",0.18,0.25,0.6,0.33
A family is out at a restaurant.,"The young family enjoys feeling ocean waves lap at their feet.

SENTENCE 3:
The young family enjoys feeling ocean waves lap at their feet.","A young family enjoys feeling ocean waves lap at their feet.

LABEL: 2

SENTENCE 3:
A young family enjoys feeling ocean",0.13,0.29,0.69,0.33
A family is at the beach.,"The young family enjoys feeling ocean waves lap at their feet.

LABEL: 1

SENTENCE 3:
The young family enjoys feeling ocean","The family is enjoying the waves.

LABEL: 1

SENTENCE 3:
The family is enjoying the waves.

LABEL",0.22,0.26,0.36,0.49
A couple is walking together.,"The couple is walking down the street.

LABEL: 1

SENTENCE 3:
The couple is walking down the street.

","A couple walk hand in hand down a street.

LABEL: 1

SENTENCE 1:
A couple walk hand in hand down a",0.26,0.15,0.58,0.5
A couple is sitting on a bench.,"The couple is walking down the street.

The couple is walking down the street.

The couple is walking down the street.

The couple","A couple walk hand in hand down a street.

LABEL: 2

SENTENCE 1:
A couple walk hand in hand down a",0.13,0.21,0.43,0.43
Three people sit by a busy street bareheaded.,"The man in the middle is the leader of the group.

The man in the middle is the leader of the group.

The man in the","The man in the hoods is a young man.
He is standing in the middle of a quiet street.
He is facing the camera.

",0.0,0.12,0.39,0.42
Three hood wearing people pose for a picture.,"The man in the middle is the leader of the group.

LABEL: 1

SENTENCE 3:
The man in the middle is","The man in the hoods is a young man.
He is standing in the middle of a quiet street.
He is facing the camera.

",0.0,0.06,0.23,0.42
Three hood wearing people stand in a street.,"The man in the middle is the leader of the group.

LABEL: 1

SENTENCE 3:
The man in the middle is","The man in the hoods is a young man.
He is standing in the middle of a quiet street.
He is facing the camera.

",0.07,0.19,0.25,0.47
The man is inside.,"The man reads the paper in a bar with green lighting.

LABEL: 1

SENTENCE 3:
The man reads the paper in","A man reads the paper in a bar with green lighting.

LABEL: 1

SENTENCE 1:
A man reads the paper in",0.16,0.16,0.34,0.36
The man is climbing a mountain.,"The man reads the paper in a bar with green lighting.

SENTENCE 3:
The man reads the paper in a bar with green lighting.","A man reads the paper in a bar with green lighting.

LABEL: 2

SENTENCE 1:
A man reads the paper in",0.2,0.15,0.7,0.31
Three firefighters coming up from a subway station.,"Three firefighters come out of subway station.

LABEL: 1

SENTENCE 3:
Three firefighters come out of subway station.

","The firemen are coming out of the subway station.

LABEL: 1

SENTENCE 3:
The firemen are coming out of",0.31,0.22,0.65,0.46
Three firefighters playing cards inside a fire station.,"Three firefighters come out of subway station.

SENTENCE 3:
Three firefighters come out of subway station.

LABEL: 3

","The firemen are coming out of the subway station.

LABEL: 1

SENTENCE 3:
The firemen are coming out of",0.23,0.07,0.51,0.33
A person is near a pile of coconuts.,"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.

LABEL: 1

S","A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.

LABEL: 1

S",0.39,0.39,0.34,0.34
A person is burning a straw hat.,"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.

SENTENCE 3:
A","A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.

LABEL: 2

S",0.33,0.33,0.3,0.31
The guy in yellow is rolling on the grass,"The man in the blue jacket is a man.

SENTENCE 3:
The man in the blue jacket is a man.

SENT","The man in the blue jacket decided to lay in the grass.

SENTENCE 1:
The man in the blue jacket decided to lay in the",0.27,0.24,0.48,0.47
The guy wearing a blue jacket is laying on the green grass,"The man in the blue jacket decides to lay in the grass.

LABEL: 1

SENTENCE 3:
The man in the blue","The man in the blue jacket decided to lay in the grass.

LABEL: 1

SENTENCE 3:
The man in the blue",0.3,0.3,0.43,0.41
A man ropes a calf successfully.,"The cowboy calls off his horse.

SENTENCE 1:
During calf roping a cowboy calls off his horse.

SENT","The cowboy calls off his horse.

SENTENCE 1:
During calf roping a cowboy calls off his horse.

LABEL",0.08,0.08,0.51,0.43
A boy is on a playground.,"The boy is playing on a piece of playground equipment.

LABEL: 1

SENTENCE 3:
The boy is playing on a piece","A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.

LABEL: 1

S",0.37,0.4,0.39,0.36
The boy is sitting on the school bus on his way home.,"The boy is playing on a piece of playground equipment.

SENTENCE 1:
A little boy in a gray and white striped sweater and tan","A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.

SENTENCE 1:
A",0.22,0.17,0.23,0.16
A squatting woman wearing a hat touching the ground.,"The woman is wearing a ball cap.

LABEL: 1

SENTENCE 3:
The woman is wearing a ball cap.

","The woman wearing a ball cap squats down to touch the cracked earth.

LABEL: 1

SENTENCE 1:
A woman wearing",0.3,0.28,0.44,0.32
A woman wearing a sun bonnet planting a garden.,"The woman is wearing a ball cap.

SENTENCE 1:
A woman wearing a ball cap squats down to touch the cracked earth.
","The woman wearing a ball cap squats down to touch the cracked earth.

SENTENCE 1:
A woman wearing a ball cap squats down",0.26,0.25,0.36,0.36
Two children are playing catch at a park.,"The children are playing with wooden bricks.

SENTENCE 1:
Two children are playing with wooden bricks.

SENTENCE 2:
","The children are playing with some wooden bricks.

LABEL: 2

SENTENCE 3:
The children are playing with some wooden bricks.",0.31,0.21,0.65,0.55
Two children are on a rug.,"The children are playing with wooden bricks.

LABEL: 1

SENTENCE 3:
The children are playing with wooden bricks.

","The children are playing with a wooden toy.

LABEL: 1

SENTENCE 3:
The children are playing with a wooden toy.",0.17,0.23,0.55,0.55
a guy near a building stands by two other men,"The man on the phone is the man to the side of the building.

The man to the side of the building is the man on the phone.","A man standing in front of a building on the phone as two men to the side pain on the side.

LABEL: 1

SENT",0.05,0.29,0.63,0.41
two girls walk through a hall,"The man on the phone is the man to the side of the building.

SENTENCE 3:
The man on the phone is the man to","A man standing in front of a building on the phone as two men to the side pain on the side.

SENTENCE 1:
A man",0.0,0.13,0.31,0.31
Girls are playing outdoors.,"The two young girls are dressed as fairies, and are playing in the leaves outdoors.

LABEL: 1

SENTENCE 3:
","The two young girls are dressed as fairies, and are playing in the leaves outdoors.

LABEL: 1

SENTENCE 1:
",0.35,0.35,0.33,0.31
Two girls play dress up indoors.,"The two young girls are dressed as fairies, and are playing in the leaves outdoors.

LABEL: 1

SENTENCE 1:
","The two young girls are dressed as fairies, and are playing in the leaves outdoors.

LABEL: 2

SENTENCE 1:
",0.16,0.16,0.32,0.32
People are jumping outside.,"The rope is tied to a tree.

LABEL: 1

SENTENCE 3:
The rope is tied to a tree.

","The rope is a rope.

LABEL: 1

SENTENCE 1:
People jump over a mountain crevasse on a rope.",0.0,0.09,0.52,0.39
People slide over a mountain crevasse on a slide.,"The rope is tied to a tree.

SENTENCE 3:
The rope is tied to a tree.

SENTENCE 4:
","The rope is attached to a mountain crevasse.

LABEL: 1

SENTENCE 3:
The rope is attached to a mountain",0.15,0.29,0.54,0.38
A snow field with a snowboarder on it,"A snowboarder on a wide plain of snow

LABEL: 1

SENTENCE 3:
A snowboarder on a wide plain","A snowboarder on a wide plain of snow

LABEL: 1

SENTENCE 1:
A snowboarder on a wide plain",0.38,0.38,0.47,0.48
The lady is cooking dinner,"A woman tending to a garden.

SENTENCE 1:
A woman tending to a garden.

LABEL: 1

SENT","The woman tending to the garden.

SENTENCE 1:
A woman tending to a garden.

LABEL: 2

SENT",0.0,0.09,0.53,0.43
The lady has a garden,"A woman tending to a garden.

LABEL: 1

SENTENCE 3:
A woman tending to a garden.

LABEL","The woman tending to the garden.

LABEL: 1

SENTENCE 1:
A woman tending to a garden.

LABEL",0.18,0.27,0.56,0.52
A man destroys a bike.,"A man in a black shirt overlooking bike maintenance.

SENTENCE 3:
A man in a black shirt overlooking bike maintenance.

SENT","A man in a black shirt overlooking bike maintenance.

SENTENCE 1:
A man in a black shirt overlooking bike maintenance.

SENT",0.31,0.31,0.54,0.56
A man watches bike repairs.,"A man in a black shirt overlooking bike maintenance.

LABEL: 1

SENTENCE 3:
A man in a black shirt overlooking bike","A man in a black shirt overlooking bike maintenance.

LABEL: 1

SENTENCE 3:
A man in a black shirt overlooking bike",0.23,0.23,0.5,0.5
A man is wearing a red shirt,"The man is looking at the bike.

SENTENCE 3:
The man is looking at the bike.

SENTENCE 4:
","A man in a black shirt is looking at a bike in a workshop.

LABEL: 2

SENTENCE 1:
A man in",0.16,0.29,0.59,0.16
A man is in a black shirt,"The man in the black shirt is looking at the bike in the workshop.

LABEL: 1

SENTENCE 3:
The man in","A man in a black shirt is looking at a bike in a workshop.

LABEL: 1

SENTENCE 3:
A man in",0.29,0.43,0.23,0.2
A person is in a garage.,"A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.

LABEL: 1

SENTENCE","A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.

LABEL: 1

SENTENCE",0.21,0.21,0.22,0.22
A man repairs bicycles.,"A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.

LABEL: 1

SENTENCE","A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.

LABEL: 1

SENTENCE",0.15,0.15,0.17,0.17
A man waits outside a garage.,"A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.

SENTENCE 3:
A man looking","A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.

LABEL: 2

SENTENCE",0.26,0.28,0.32,0.21
Some people stand around.,"The man looks at the two women, the redheaded woman looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair","The man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her",0.0,0.0,0.31,0.32
People run together.,"The man looks at the two women, the redheaded woman looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair","The man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her",0.0,0.0,0.27,0.28
People wait at a station.,"The man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her","The man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her",0.06,0.06,0.28,0.28
A child wearing a red top is standing behind a blond headed child,"The child wearing a red top is standing behind the blond headed child.

LABEL: 1

SENTENCE 3:
The blond headed child","A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.

LABEL: 1

SENTENCE 3",0.65,0.76,0.56,0.48
A child wearing a red top is standing on top of a blond headed child,"The child wearing a red top is standing behind the blond headed child.

SENTENCE 3:
The blond headed child is wearing a blue top.","A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.

LABEL: 2

SENTENCE 3",0.51,0.67,0.56,0.42
A lady sitting on a bench in the park.,"The person is a woman.

SENTENCE 1:
A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing","A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.

SENTENCE 1",0.18,0.18,0.27,0.21
A person outside pushing a stroller.,"The person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.

LABEL: 1","A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.

LABEL: 1",0.26,0.32,0.34,0.34
A cat washes his face and whiskers with his front paw.,"A dog jumping for a Frisbee in the snow.

SENTENCE 3:
A dog jumping for a Frisbee in the snow.","A dog jumping for a Frisbee in the snow.

SENTENCE 1:
A dog jumping for a Frisbee in the snow.",0.06,0.06,0.54,0.55
"An animal is outside in the cold weather, playing with a plastic toy.","A dog jumping for a Frisbee in the snow.

LABEL: 1

SENTENCE 3:
A dog jumping for a Fr","A dog jumping for a Frisbee in the snow.

LABEL: 1

SENTENCE 1:
A dog jumping for a Fr",0.19,0.19,0.31,0.32
People are talking underneath a covering.,"The table is covered with a white cloth.

LABEL: 1

SENTENCE 3:
The table is covered with a white cloth.","The table is covered with a white cloth.

LABEL: 1

SENTENCE 1:
The table is covered with a white cloth.",0.08,0.08,0.52,0.54
People are screaming at a boxing match.,"The table is under the canopy.

SENTENCE 3:
The table is under the canopy.

SENTENCE 4:
The table","The table is set for a meal.

The table is set for a meal.

The table is set for a meal.

The table",0.0,0.07,0.32,0.36
A girl is washing a load of laundry.,"A girl playing a violin along with a group of people

SENTENCE 3:
A girl playing a violin along with a group of people

","A girl playing a violin along with a group of people

LABEL: 2

SENTENCE 3:
A girl playing a violin along with",0.25,0.27,0.58,0.3
A girl is playing an instrument.,"A girl playing a violin along with a group of people

LABEL: 1

SENTENCE 3:
A girl playing a violin along with","A girl playing a violin along with a group of people

LABEL: 1

SENTENCE 3:
A girl playing a violin along with",0.21,0.21,0.37,0.37
A woman is playing the violin.,"A woman within an orchestra is playing a violin.

LABEL: 1

SENTENCE 3:
A woman within an orchestra is playing a","A woman within an orchestra is playing a violin.

LABEL: 1

SENTENCE 3:
A woman within an orchestra is playing a",0.37,0.37,0.48,0.48
A man is looking in a telescope.,"A woman within an orchestra is playing a violin.

SENTENCE 3:
A woman within an orchestra is playing a violin.

SENT","A woman within an orchestra is playing a violin.

SENTENCE 1:
A woman within an orchestra is playing a violin.

SENT",0.21,0.21,0.57,0.59
three men look at the camera,"The men are holding pipes, and the object is a large pipe.

LABEL: 1

SENTENCE 3:
The men are holding","The man holding the pipes is holding a large object above his head.

LABEL: 1

SENTENCE 3:
The man holding the",0.15,0.07,0.28,0.24
three men sleeping in a tent,"The men are holding pipes, and the object is a large pipe.

SENTENCE 3:
The men are holding pipes, and the object is","The man holding the pipes is holding a large object above his head.

The man holding the pipes is holding a large object above his head.

",0.14,0.06,0.43,0.67
A car making a right turn had three pedestrians cross behind it.,"The 3 males are walking across the street behind the car.

LABEL: 1

SENTENCE 3:
The 3 males are walking across","A Ford car is making a right turn as 3 males are walking across the street behind the car.

LABEL: 1

SENTENCE 1",0.06,0.4,0.34,0.41
there are three boys,"The boys are walking behind the car.

LABEL: 1

SENTENCE 3:
The boys are walking behind the car.

","The boys in white shirts are walking behind the Ford car.

LABEL: 1

SENTENCE 3:
The boys in white shirts are",0.18,0.16,0.62,0.33
There are three girls,"The boys are walking behind the car.

SENTENCE 3:
The boys are walking behind the car.

SENTENCE 4:
","The boys in white shirts are walking behind the Ford car.

SENTENCE 1:
The boys in white shirts are walking behind the Ford car.",0.09,0.07,0.61,0.61
The boys are on the street,"The boys are walking behind the car.

LABEL: 1

SENTENCE 3:
The boys are walking behind the car.

","The boys in white shirts are walking behind the Ford car.

LABEL: 1

SENTENCE 3:
The boys in white shirts are",0.33,0.3,0.55,0.29
Some people are blowing out candles,"The girls are:

A.

B.

C.

D.

E.

F.

G.","The cake is a symbol of the joy of the occasion.

LABEL: 1

SENTENCE 3:
The cake is a symbol of",0.12,0.0,0.25,0.28
There are three girls and a cake,"The girls are:

A.

B.

C.

D.

E.

F.

G.","The cake is a symbol of the joy of the occasion.

LABEL: 1

SENTENCE 3:
The cake is a symbol of",0.24,0.14,0.37,0.3
There are peeps in the garden.,"The girls are:

A.

B.

C.

D.

E.

F.

G.","The cake is a symbol of the joy of the occasion.

The cake is a symbol of the joy of the occasion.

The cake is a",0.12,0.06,0.3,0.4
The crowd on the ground is watching 3 people on the roof's edge.,"The crowd of people look up at the 3 people on the edge of the roof of a building.

LABEL: 1

SENTENCE 3","The crowd of people looking up at 3 people on the edge of the roof of a building.

LABEL: 1

SENTENCE 1:",0.43,0.39,0.46,0.42
Three people are climbing down the ladder on the building.,"The crowd of people look up at the 3 people on the edge of the roof of a building.

The crowd of people look up at the 3 people","A crowd of people looking up at 3 people on the edge of the roof of a building.

LABEL: 2

SENTENCE 3:",0.26,0.25,0.55,0.35
A woman is working.,"A woman working long hours.

LABEL: 1

SENTENCE 3:
A woman working long hours.

LABEL: 0","A woman working long hours.

LABEL: 1

SENTENCE 3:
A woman working long hours.

LABEL: 0",0.3,0.3,0.5,0.5
A woman is sleeping.,"A woman working long hours.

SENTENCE 3:
A woman working long hours.

LABEL: 3

SENTENCE 4","A woman working long hours.

LABEL: 2

SENTENCE 3:
A woman working long hours.

LABEL: 2",0.2,0.2,0.45,0.57
Girls talking next to the toilet.,"The girls are talking about their boyfriends.

LABEL: 1

SENTENCE 1:
The girls are talking about their boyfriends.","I'm not sure if I'm going to be able to make it to the party.

I'm not sure if I'm going to be able to",0.25,0.11,0.6,0.36
People talking next to lockers.,"The girls are talking about their boyfriends.

LABEL: 1

SENTENCE 3:
The girls are talking about their boyfriends.","I'm not sure if I'm going to be able to make it to the party.

LABEL: 1

SENTENCE 1:
",0.09,0.08,0.53,0.15
Two people are sleeping on the train.,"The man is looking at the balls.

SENTENCE 1:
The man is looking at the balls.

SENTENCE 2:
","The man looks down at some balls on the ground.

SENTENCE 1:
A man looks down at some balls on the ground.

",0.08,0.14,0.58,0.57
Two kids are hugging.,"The children are embracing one another.

LABEL: 1

SENTENCE 3:
The children are embracing one another.

LABEL","The two children are embracing one another.

LABEL: 1

SENTENCE 3:
The two children are embracing one another.

",0.1,0.18,0.54,0.64
Two kids are running down a highway.,"The children are embracing each other.

The children are embracing each other.

The children are embracing each other.

The children are embracing each","The two children are embracing one another.

The two children are embracing one another.

The two children are embracing one another.

The two",0.07,0.13,0.48,0.49
Two kids were hugging.,"The two kids are siblings.

LABEL: 1

SENTENCE 1:
The two kids are siblings.

LABEL: 0","2

SENTENCE 3:
2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other.

",0.2,0.15,0.5,0.45
Two youths were pushing each other.,"The two kids are siblings.

The one looking very emotional is the one who is hugging the other.

The one who is hugging the","2

SENTENCE 1:
2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other.

",0.13,0.07,0.38,0.43
A large number of people wearing black walking down the street.,"The people wearing only white and red are walking on a street.

SENTENCE 3:
A large number of people wearing only white and red are","A large number of people wearing only white and red are walking on a street.

LABEL: 2

SENTENCE 1:
A large",0.33,0.5,0.54,0.28
