completion,generated_general_completion,generated_guided_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
"This was a series of nested polar scales , so that measurements in azimuth and elevation could be performed directly in angular coordinates relative to the ecliptic .","The angular standards were used to measure the position of the sun and moon in the sky.

LABEL: 1

SENTENCE 3:
","The first step in the process of determining the position of a star is to determine its position in the sky.

LABEL: 1

SENT",0.17,0.12,0.13,0.07
"His father emigrated to America in 1868 , but returned when his wife became ill and before the rest of the family could go to Missouri .","His father emigrated to Missouri in 1868 but returned when his wife became ill and before the rest of the family could also go to America.

LABEL","He was born in 1869 in Missouri and died in 1939 in Missouri.

LABEL: 1

SENTENCE 3:
He was born",0.88,0.13,0.69,0.2
"In January 2011 , FIBA Asia deputy secretary general Hagop Khajirian along with SBP president Manuel V. Pangilinan inspected the venue .","The venue is located in the heart of the city.

LABEL: 2

SENTENCE 3:
The venue is located in the heart",The Philippines is a country in Southeast Asia. It is the largest island in Southeast Asia and the fourth largest in the world. It is also the most populous,0.15,0.12,0.27,0.17
"Steiner held that the spiritual world can be researched in the right circumstances through direct experience , by persons practicing rigorous forms of ethical and cognitive self-discipline .","Steiner argued that, in the right circumstances, the spiritual world can be explored through direct experience by practicing ethical and cognitive forms of rigorous self-discipline.","The spiritual world can be explored through direct experience by practicing ethical and cognitive forms of rigorous self-discipline.

LABEL: 1

SENT",0.64,0.61,0.8,0.54
Luciano Williames Dias ( born 25 July 1970 ) is a former football coach and Brazilian player .,"He is the son of a Brazilian father and a Portuguese mother.

LABEL: 1

SENTENCE 3:
He is a former player","

SENTENCE 2 MUST EXACTLY match the instance in the dataset.

SENTENCE 2 MUST NOT contain any of the following words:",0.22,0.0,0.24,0.21
"During her second , junior and senior summers , she spent half of it with her Alaska team , half playing and living in Oregon .","She spent half of her junior and senior summers with her Alaska team, and half of her junior and senior summers playing and living in Oregon.

","She was a member of the Oregon State Beavers women's basketball team from the fall of 2000 to the spring of 2003.

LABEL: 2
",0.62,0.13,0.73,0.03
The smallest number that can be represented as a sum of four positive seventh potences in two different ways is 2056364173794800 .,"The smallest number that can be represented in two positive and seventh ways as a sum of four different powers is 2056364173794800.

LAB","The smallest number that can be represented in two positive and seventh ways as a sum of four different powers is 2056364173794800.

LAB",0.68,0.68,0.63,0.63
His father emigrated to Missouri in 1868 but returned when his wife became ill and before the rest of the family could also go to America .,"His father emigrated to Missouri in 1868, but returned when his wife became ill and before the rest of the family could go to America.

LABEL","He was born in 1869 in Missouri, and died in 1871.

LABEL: 2

SENTENCE 3:
He was born",0.96,0.09,0.74,0.23
"The facilities of Villa Pesquera are operated by the Municipality of Ponce , but are owned by the fishermen .","The fishermen are the ones who are responsible for the operation of the facilities.

LABEL: 1

SENTENCE 3:
The fishermen are","The Villa Pesquera facilities are owned by the Municipality of Ponce, but operated by the fishermen themselves.

LABEL: 1

S",0.31,0.68,0.14,0.6
It is situated south of Köroğlu - mountains and north of the Bolu .,"It is situated south of Köroğlu Mountains and to the north of Bolu.

LABEL: 2

SENTENCE 3:","It is situated south of Köroğlu Mountains and to the north of Bolu.

LABEL: 2

SENTENCE 1:",0.79,0.79,0.48,0.5
The Río Blanco - Mine is a large copper mine in northern Peru in the region of Loreto .,"The Río Blanco mine is a large copper mine located in the north of Peru in Loreto Region.

LABEL: 2

S","The Río Blanco mine is a large copper mine located in the north of Peru in Loreto Region.

LABEL: 2

S",0.7,0.7,0.56,0.56
He appeared as General Onoda in the Amazon - Show `` The Man in High Castle '' and as Tao on AMCs '' Hell On Wheels '' .,"He appeared as General Tao in the Amazon - Show `` The Man at the High Castle '', and as Onoda in AMC `` Hell On Wheels ''","He appeared as General Tao in the Amazon - Show `` The Man at the High Castle '', and as Onoda in AMC `` Hell On Wheels ''",0.76,0.76,0.76,0.76
"The spectral light levels that can be measured by plants for photosynthesis are similar , but not the same as what is used by lumens .","The spectral levels of light that can be measured by plants for photosynthesis is similar to, but not the same as what's used by lumens.
","The spectral levels of light that can be measured by plants for photosynthesis is similar to, but not the same as what's used by lumens.
",0.84,0.84,0.76,0.76
