completion,generated_general_completion,generated_guided_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
The church is filled with song.,"The choir sings to the masses as they sing joyous songs from the book at a church.

LABEL: 1

SENTENCE 1:","This church choir sings to the masses as they sing joyous songs from the book at a church.

LABEL: 0

SENTENCE 1",0.15,0.14,0.33,0.35
A choir singing at a baseball game.,"The choir sings to the masses as they sing joyous songs from the book at a church.

LABEL: 3

SENTENCE 1:","This church choir sings to the masses as they sing joyous songs from the book at a church.

LABEL: 2

SENTENCE 1",0.21,0.21,0.22,0.21
The woman is very happy.,"A woman with a green headscarf, blue shirt and a very big grin.

LABEL: 1

SENTENCE 1:
A","A woman with a green headscarf, blue shirt and a very big grin.

LABEL: 0

SENTENCE 1:
A",0.17,0.17,0.24,0.23
The woman has been shot.,"A woman with a green headscarf, blue shirt and a very big grin.

LABEL: 3

SENTENCE 1:
A","A woman with a green headscarf, blue shirt and a very big grin.

LABEL: 2

SENTENCE 1:
A",0.09,0.09,0.14,0.14
A man poses in front of an ad.,"A man with a package poses in front of an advertisement.

LABEL: 1

SENTENCE 1:
A man with a package poses","An old man with a package poses in front of an advertisement.

LABEL: 0

SENTENCE 1:
A man in a suit",0.48,0.41,0.58,0.32
A man walks by an ad.,"A man with a package poses in front of an advertisement.

LABEL: 3

SENTENCE 3:
A man with a package poses","An old man with a package poses in front of an advertisement.

LABEL: 2

SENTENCE 1:
A man in a suit",0.22,0.15,0.46,0.28
There is a statue that not many people seem to be interested in.,"A statue at a museum that no seems to be looking at.

LABEL: 1

SENTENCE 1:
A statue at a museum","A statue at a museum that no seems to be looking at.

LABEL: 0

SENTENCE 1:
A statue at a museum",0.29,0.29,0.46,0.45
Tons of people are gathered around the statue.,"A statue at a museum that no seems to be looking at.

LABEL: 3

SENTENCE 3:
A statue at a museum","A statue at a museum that no seems to be looking at.

LABEL: 2

SENTENCE 1:
A statue at a museum",0.07,0.07,0.32,0.3
A Land Rover is splashing water as it crosses a river.,"A man is driving a land rover across a river.

LABEL: 1

SENTENCE 1:
A man is driving a land","A man is driving a land rover across a river.

LABEL: 1

SENTENCE 1:
A man is driving a land",0.32,0.32,0.38,0.38
A vehicle is crossing a river.,"A man is driving a land rover across a river.

LABEL: 1

SENTENCE 1:
A man is driving a land","A man is driving a land rover across a river.

LABEL: 1

SENTENCE 1:
A man is driving a land",0.31,0.31,0.36,0.36
A sedan is stuck in the middle of a river.,"A man is driving a land rover across a river.

LABEL: 3

SENTENCE 3:
A man is driving a land","A man is driving a land rover across a river.

LABEL: 2

SENTENCE 1:
A man is driving a land",0.27,0.27,0.3,0.28
A man playing banjo on the floor.,"A man playing an electric guitar on stage.

LABEL: 3

SENTENCE 1:
A man playing an electric guitar on stage.","A man playing an electric guitar on stage.

LABEL: 2

SENTENCE 1:
A man playing an electric guitar on stage.",0.3,0.3,0.57,0.57
A man playing guitar on stage.,"A man playing an electric guitar on stage.

LABEL: 1

SENTENCE 1:
A man playing an electric guitar on stage.","A man playing an electric guitar on stage.

LABEL: 0

SENTENCE 1:
A man playing an electric guitar on stage.",0.46,0.46,0.72,0.7
A doctor is looking at a book,"A blond-haired doctor and her African american assistant looking threw new medical manuals.

LABEL: 1

SENTENCE 1:
","A blond-haired doctor and her African american assistant looking threw new medical manuals.

LABEL: 0

SENTENCE 1:
",0.24,0.24,0.28,0.26
A man is eating pb and j,"A blond-haired doctor and her African american assistant looking threw new medical manuals.

LABEL: 3

SENTENCE 1:
","A blond-haired doctor and her African american assistant looking threw new medical manuals.

LABEL: 2

SENTENCE 1:
",0.16,0.16,0.11,0.11
A boy runs into a wall,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.

LABEL","One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.

LABEL",0.12,0.12,0.21,0.21
A tan girl runs leans over an object,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.

LABEL","One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.

LABEL",0.29,0.29,0.43,0.43
A family is out at a restaurant.,"A young family enjoys feeling ocean waves lap at their feet.

SENTENCE 1:
A young family enjoys feeling ocean waves lap at their feet.","A young family enjoys feeling ocean waves lap at their feet.

SENTENCE 1:
A young family enjoys feeling ocean waves lap at their feet.",0.26,0.26,0.71,0.71
A family is at the beach.,"A young family enjoys feeling ocean waves lap at their feet.

LABEL: 1

SENTENCE 1:
A young family enjoys feeling ocean","A young family enjoys feeling ocean waves lap at their feet.

LABEL: 0

SENTENCE 1:
A young family enjoys feeling ocean",0.22,0.22,0.38,0.37
A couple is walking together.,"A couple walk hand in hand down a street.

LABEL: 1

SENTENCE 1:
A couple walk hand in hand down a","A couple walks hand in hand down a street.

LABEL: 1

SENTENCE 1:
A couple walks hand in hand down a",0.15,0.15,0.5,0.5
A couple is sitting on a bench.,"A couple walk hand in hand down a street.

LABEL: 3

SENTENCE 1:
A couple walk hand in hand down a","A couple walks hand in hand down a street.

LABEL: 2

SENTENCE 1:
A couple walks hand in hand down a",0.21,0.21,0.43,0.42
Three people sit by a busy street bareheaded.,"3 young man in hoods standing in the middle of a quiet street facing the camera.

LABEL: 3

SENTENCE 1:
","3 young man in hoods standing in the middle of a quiet street facing the camera.

LABEL: 2

SENTENCE 1:
",0.14,0.14,0.31,0.27
Three hood wearing people pose for a picture.,"3 young man in hoods standing in the middle of a quiet street facing the camera.

LABEL: 1

SENTENCE 1:
","3 young men in hoods standing in the middle of a quiet street facing the camera.

LABEL: 1

SENTENCE 1:
",0.07,0.07,0.24,0.24
Three hood wearing people stand in a street.,"3 young man in hoods standing in the middle of a quiet street facing the camera.

LABEL: 1

SENTENCE 1:
","3 young men in hoods standing in the middle of a quiet street facing the camera.

LABEL: 1

SENTENCE 1:
",0.21,0.21,0.3,0.3
The man is inside.,"A man reads the paper in a bar with green lighting.

LABEL: 1

SENTENCE 1:
A man reads the paper in","A man reads the paper in a bar with green lighting.

LABEL: 0

SENTENCE 1:
A man reads the paper in",0.16,0.16,0.36,0.36
The man is climbing a mountain.,"A man reads the paper in a bar with green lighting.

LABEL: 3

SENTENCE 1:
A man reads the paper in","A man reads the paper in a bar with green lighting.

LABEL: 2

SENTENCE 1:
A man reads the paper in",0.15,0.15,0.31,0.31
Three firefighters coming up from a subway station.,"Three firefighter come out of subway station.

LABEL: 1

SENTENCE 1:
Three firefighter come out of subway station.","Three firefighters come out of the subway station.

LABEL: 1

SENTENCE 1:
Three firefighters come out of the subway station.",0.23,0.29,0.67,0.69
Three firefighters playing cards inside a fire station.,"Three firefighter come out of subway station.

LABEL: 3

SENTENCE 1:
Three firefighter come out of subway station.","Three firefighters come out of the subway station.

LABEL: 2

SENTENCE 1:
Three firefighters come out of the subway station.",0.15,0.21,0.54,0.56
A person is near a pile of coconuts.,"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.

LABEL: 1

S","A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.

LABEL: 0

S",0.39,0.39,0.34,0.34
A person is burning a straw hat.,"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.

LABEL: 3

S","A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.

LABEL: 2

S",0.33,0.33,0.31,0.31
The guy in yellow is rolling on the grass,"Male in a blue jacket lays in the grass.

LABEL: 3

SENTENCE 1:
Male in a blue jacket decides to lay","Male in a blue jacket decides to lay in the grass.

SENTENCE 1:
Male in a blue jacket decides to lay in the grass.",0.2,0.24,0.38,0.65
The guy wearing a blue jacket is laying on the green grass,"Male in a blue jacket decides to lay in the grass.

LABEL: 1

SENTENCE 1:
Male in a blue jacket decides","Male in a blue jacket decides to lay in the grass.

LABEL: 0

SENTENCE 1:
Male in a blue jacket decides",0.3,0.3,0.52,0.48
A man ropes a calf successfully.,"The cowboy calls off his horse.

LABEL: 3

SENTENCE 3:
The cowboy calls off his horse.

","During calf roping a cowboy calls off his horse and then ties the calf to the horse.

LABEL: 3

SENTENCE 1",0.0,0.15,0.4,0.29
A boy is on a playground.,"A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.

LABEL: 1

S","A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.

LABEL: 0

S",0.4,0.4,0.36,0.34
The boy is sitting on the school bus on his way home.,"A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.

LABEL: 3

S","A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.

LABEL: 2

S",0.17,0.17,0.22,0.21
A squatting woman wearing a hat touching the ground.,"A woman wearing a ball cap squats down to touch the cracked earth.

LABEL: 1

SENTENCE 1:
A woman wearing","A woman wearing a ball cap squats down to touch the cracked earth.

LABEL: 0

SENTENCE 1:
A woman wearing",0.34,0.34,0.33,0.32
A woman wearing a sun bonnet planting a garden.,"A woman wearing a ball cap squats down to touch the cracked earth.

LABEL: 3

SENTENCE 1:
A woman wearing","A woman wearing a ball cap squats down to touch the cracked earth.

SENTENCE 1:
A woman wearing a ball cap squats down",0.34,0.31,0.23,0.37
