completion,generated_general_completion,generated_guided_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
"If a substance has a ph value greater than 7,that indicates that it is base.","Based on the list provided of the uses of substances 1-7, estimate the pH of each unknown and record the number in the data table in the estimated pH","Based on the list provided of the uses of substances 1-7, estimate the pH of each unknown and record the number in the data table in the estimated pH",0.04,0.04,0.4,0.4
Invertebrates (and higher animals) can also be placed in one of two groups based on how they develop as embryos.,"If one or two            base pairs are changed (mutated), the embryo will fail to develop properly.

LABEL: neutral

SENTENCE","If one or two base pairs are changed (mutated), the embryo will fail to develop properly.

LABEL: negative

SENTENCE 1",0.15,0.15,0.16,0.17
Gases and liquids become solids at low temperatures.,"At high temperatures, the solid dye converts into a gas without ever becoming a liquid.

LABEL: neutral

SENTENCE 1:
At","At high temperatures, the solid dye converts into a gas without ever becoming a liquid.

LABEL: positive

SENTENCE 1:
At",0.14,0.14,0.15,0.12
The behavior of ideal gases is explained by kinetic molecular theory.,"Chapter 11 Gas and Kinetic Theory.

LABEL: neutral

SENTENCE 1:
Chapter 11 Gas and Kinetic Theory.

","Chapter 11 Gas and Kinetic Theory.

LABEL: neutral

SENTENCE 1:
Chapter 11 Gas and Kinetic Theory.

",0.15,0.15,0.46,0.46
Gabbro is a dark dense rock that can be found in the oceanic crust.,"The continental crust is less dense than the oceanic crust.

LABEL: neutral

SENTENCE 1:
The continental crust is less dense","Both the continental crust and the oceanic crust are less dense than the mantle.

LABEL: negative

SENTENCE 1:
The continental",0.29,0.18,0.39,0.21
Angiosperms are the most successful phylum of plants.,"The phylum for common marigolds is angiosperms.

LABEL: neutral

SENTENCE 1:
The phylum for","The phylum for common marigolds is angiosperms.

LABEL: correct

SENTENCE 1:
The phylum for",0.27,0.27,0.23,0.25
Lyme disease is caused by bacteria.,"Lyme  Disease is caused by a bacterium that's transmitted by tick bite, but many infected people don't remember a bite.

LABEL:","Lyme Disease is caused by a bacterium that's transmitted by tick bite, but many infected people don't remember a bite.

LABEL: entailment",0.34,0.33,0.41,0.25
All of the petals together are called a corolla.,"The corolla is the part of the flower that is visible to the naked eye.

LABEL: entails

SENTENCE 1:
The","The corolla is the part of the flower that contains the petals.

LABEL: entailment

SENTENCE 1:
The cor",0.14,0.22,0.07,0.28
A(n) polyploid is an individual with more than the correct number of chromosome sets.,"A polyploid is an organism that contains more than the usual two sets of chromosomes.

LABEL: entails

SENTENCE 1:
A","A polyploid is simply an organism that contains more than the usual two sets of chromosomes.

LABEL: entailment

SENTENCE 1:",0.46,0.46,0.3,0.25
Diabetes is unpreventable in the type one form but may be prevented by diet if it is of the second type.,"If you are at special risk for type 1 diabetes, you may wish to focus on prevention only.

LABEL: neutral

SENTENCE 1","If you are at special risk for type 1 diabetes, you may wish to focus on prevention only.

LABEL: positive

SENTENCE 1",0.09,0.09,0.32,0.25
