completion,generated_general_completion,generated_guided_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
"This was a series of nested polar scales , so that measurements in azimuth and elevation could be performed directly in angular coordinates relative to the ecliptic .","The angular standards were used to measure the distance between the Earth and the Sun .

LABEL: 1

SENTENCE 3:
The angular","The polar coordinates of the ecliptic are given by the latitude and longitude of the Earth’s equator .

LABEL: 1",0.13,0.17,0.11,0.15
"His father emigrated to America in 1868 , but returned when his wife became ill and before the rest of the family could go to Missouri .","His father emigrated to Missouri in 1868 but returned when his wife became ill and before the rest of the family could also go to America .

LAB","His father emigrated to Missouri in 1868 but returned when his wife became ill and before the rest of the family could also go to America .

LAB",0.88,0.88,0.75,0.75
"In January 2011 , FIBA Asia deputy secretary general Hagop Khajirian along with SBP president Manuel V. Pangilinan inspected the venue .","In January 2011 , the Deputy Secretary General of FIBA Asia , Hagop Khajirian , inspected the venue together with SBP - President Manuel V.","The FIBA Asia Deputy Secretary General , Hagop Khajirian , inspected the venue together with SBP - President Manuel V. Pangilinan",0.63,0.68,0.69,0.68
"Steiner held that the spiritual world can be researched in the right circumstances through direct experience , by persons practicing rigorous forms of ethical and cognitive self-discipline .","Steiner argued that , in the right circumstances , the spiritual world can be explored through direct experience by practicing ethical and cognitive forms of rigorous self-discipline .","Steiner argued that , in the right circumstances , the spiritual world can be explored through direct experience by practicing ethical and cognitive forms of rigorous self-discipline .",0.64,0.64,0.79,0.79
Luciano Williames Dias ( born 25 July 1970 ) is a former football coach and Brazilian player .,"The Brazilian football team, the Seleção Brasileira, won the 2002 FIFA World Cup.

LABEL: 1

SENTENCE","The Brazilian football team, the Seleção Brasileira de Futebol, is the national team of Brazil .

LABEL: 1
",0.06,0.06,0.07,0.11
"During her second , junior and senior summers , she spent half of it with her Alaska team , half playing and living in Oregon .","She was a member of the Alaska team , and played for the Oregon team .

LABEL: 2

SENTENCE 3:
She was","She was a member of the Alaska team , and she was a member of the Oregon team .

LABEL: 2

SENTENCE 3:",0.29,0.28,0.11,0.07
The smallest number that can be represented as a sum of four positive seventh potences in two different ways is 2056364173794800 .,"The smallest number that can be represented in two positive and seventh ways as a sum of four different powers is 2056364173794800 .

LAB","The smallest number that can be represented in two positive and seventh ways as a sum of four different powers is 2056364173794800 .

LAB",0.68,0.68,0.65,0.65
His father emigrated to Missouri in 1868 but returned when his wife became ill and before the rest of the family could also go to America .,"His father emigrated to Missouri in 1868 , but returned when his wife became ill and before the rest of the family could go to America .

LAB","His father emigrated to Missouri in 1868 , but returned when his wife became ill and before the rest of the family could go to America .

LAB",0.96,0.96,0.78,0.78
"The facilities of Villa Pesquera are operated by the Municipality of Ponce , but are owned by the fishermen .","The Villa Pesquera facilities are owned by the Municipality of Ponce , but operated by the fishermen themselves .

LABEL: 1

S","The Villa Pesquera facilities are owned by the Municipality of Ponce , but operated by the fishermen themselves .

LABEL: 1

S",0.68,0.68,0.6,0.6
It is situated south of Köroğlu - mountains and north of the Bolu .,"It is situated south of Köroğlu Mountains and to the north of Bolu .

LABEL: 2

SENTENCE 3:","It is situated south of Köroğlu Mountains and to the north of Bolu .

LABEL: 2

SENTENCE 3:",0.79,0.79,0.51,0.51
