completion,generated_general_completion,generated_guided_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
Weapons of Mass Destruction Found in Iraq.,"No Weapons of Mass Destruction Found in Iraq Yet.

LABEL: 2

SENTENCE 1:
No Weapons of Mass Dest","No Weapons of Mass Destruction Found in Iraq Yet.

LABEL: 1

SENTENCE 1:
No Weapons of Mass Dest",0.56,0.56,0.44,0.45
Pope Benedict XVI is the new leader of the Roman Catholic Church.,"The new pope, who was elected to succeed Pope John Paul II, was greeted by a crowd of thousands of people in St. Peter's Square in Rome.","A place of sorrow, after Pope John Paul II died, became a place of celebration, as Roman Catholic faithful gathered in downtown Chicago to mark the installation of new",0.15,0.2,0.39,0.28
Herceptin can be used to treat breast cancer.,"The drug is already approved to treat the sickest breast cancer patients, and the company said Monday it will discuss with federal regulators the possibility of prescribing the drug for","Herceptin was already approved to treat the sickest breast cancer patients, and the company said, Monday, it will discuss with federal regulators the possibility of prescribing",0.21,0.29,0.3,0.45
The previous name of Ho Chi Minh City was Saigon.,"The institute is the only one in Vietnam that specializes in treating children with heart disease.

LABEL: 1

SENTENCE 1:
The","The institute is the first of its kind in Vietnam and is the only one in the country that specializes in treating children with heart disease.

LABEL:",0.06,0.11,0.01,0.14
Paul Stewart Hutchinson is accused of having stabbed a girl.," been charged with her murder.

SENTENCE 2:
The man, who cannot be named for legal reasons, was arrested in the early hours of"," to the village.

SENTENCE 2:
A man is due in court later charged with the murder 26 years ago of a teenager whose case was",0.06,0.17,0.13,0.29
"Bakri was briefly detained, but was released.","Bakri, who was released from a police station in the northern Lebanese city of Tripoli, was arrested on Thursday on suspicion of inciting violence.","Britain said, Friday, that it has barred cleric, Omar Bakri, from returning to the country from Lebanon, where he was released by police after",0.19,0.19,0.48,0.35
Three quarters of U.S. illegal immigrants have children.," immigrants are in the United States illegally, according to the study.

SENTENCE 2:
The study found that nearly 4 million children who have at"," to the study.

SENTENCE 2:
Nearly 4 million children who have at least one parent who entered the U.S. illegally were",0.12,0.13,0.3,0.4
Aristide had Prime Minister Robert Malval  murdered in Port-au-Prince.,"The U.N. officials said they were not surprised that Aristide killed the conference.

LABEL: 2

SENTENCE 1:
",The U.N. officials are also dismayed that Aristide killed a conference called by Prime Minister Robert Malval in Port-au-Prince in hopes of,0.07,0.5,0.11,0.33
Dick Cheney was the Vice President of Bush.,"-CIA Director George Tenet was not fully informed about the legal advice he was receiving.

SENTENCE 2:
The narrative, which was"," Rice.

SENTENCE 2:
The small group of Justice Department lawyers who wrote memos authorizing controversial interrogation techniques were operating not on their own but",0.14,0.12,0.1,0.09
Microsoft's Hotmail has raised its storage capacity to 250MB.,"Microsoft's Hotmail service is the world's largest e-mail service, with more than 100 million users.

LABEL: 1

SENT","Microsoft has upped the storage capacity of its Hotmail e-mail service to 250MB, following similar moves by rivals such as Google, Yahoo, and Ly",0.19,0.34,0.22,0.57
Lina Joy's parents are from Malaysia.," as Islam.

SENTENCE 2:
Joy, who is now a Christian, has been fighting for her right to change her religion on her My","ad, her religion is still listed as Muslim.

SENTENCE 2:
Lina Joy, 42, was born Azlina Jailani to",0.07,0.16,0.18,0.18
