completion,generated_general_completion,generated_guided_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
The carrot had a hole.,"I stuck a pin through a carrot. When I pulled the pin out, it had a hole.

LABEL: 2

SENTENCE 1","I stuck a pin through a carrot. When I pulled the pin out, it had a hole.

LABEL: 2

SENTENCE 1",0.31,0.31,0.35,0.35
John is so short.,"John couldn't see the stage with Billy in front of him because he is so short.

LABEL: 2

SENTENCE 3:
","John couldn't see the stage with Billy in front of him because he is so short.

LABEL: 2

SENTENCE 1:
",0.32,0.32,0.3,0.3
The police were trying to stop the drug trade in the neighborhood.,"The police arrested all of the gang members. They were trying to stop the drug trade in the neighborhood.

LABEL: 2

SENTENCE","The police arrested all of the gang members. They were trying to stop the drug trade in the neighborhood.

LABEL: 2

SENTENCE",0.71,0.71,0.46,0.46
Steve influences him hugely.,"Fred's example is a good one.

LABEL: 1

SENTENCE 3:
Fred's example is a good one.

","Fred's example is to be a good example.

LABEL: 1

SENTENCE 1:
Steve follows Fred's example in everything.",0.0,0.08,0.49,0.45
"mother was careful not to disturb her, undressing and climbing back into her berth.","Tatyana's mother was sleeping. She was careful not to disturb her, undressing and climbing back into her berth.

LABEL: 1","Tatyana was a young girl, who had just turned 14. She was a beautiful girl, with long, dark hair and a pale complexion. She",0.8,0.11,0.63,0.2
George was particularly eager to see it.,"Eric got free tickets to the play, but he gave them to George, because he was particularly eager to see it.

LABEL: 1

","George got free tickets to the play, but he gave them to Eric, because he was particularly eager to see it.

LABEL: 1

",0.47,0.47,0.41,0.42
John was very impressive.,"John was jogginging through the park when he saw a man juggling watermelons. He was very impressive.

LABEL: 1

","John was jogginging through the park when he saw a man juggling watermelons. He was very impressive.

LABEL: 1

",0.35,0.35,0.31,0.31
The pot was too tall.,"I couldn't put the pot on the shelf because it was too tall.

LABEL: 2

SENTENCE 3:
I couldn't","I couldn't put the pot on the shelf because it was too tall.

LABEL: 2

SENTENCE 1:
I couldn't",0.38,0.38,0.34,0.34
There were simply not enough copies of the newsletter.,"We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply not enough of them.

LABEL:","We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply not enough of them.

LABEL:",0.35,0.35,0.37,0.37
The judges were so advanced.,"The judges couldn't figure out which respondents were the chatbots because they were so advanced.

LABEL: 1

SENTENCE 3:","The judges couldn't figure out which respondents were the chatbots because they were so advanced.

LABEL: 1

SENTENCE 1:",0.4,0.4,0.26,0.24
I took the water bottle out of the backpack so that the backpack would be lighter.,"I took the water bottle out of the backpack so that it would be lighter.

LABEL: 2

SENTENCE 3:
I took","I took the water bottle out of the backpack so that it would be lighter.

LABEL: 2

SENTENCE 1:
I took",0.76,0.76,0.43,0.43
The table is too narrow.,"The table is too narrow to fit through the doorway.

LABEL: 1

SENTENCE 3:
The table is too narrow to fit","The table won't fit through the doorway because it is too narrow.

LABEL: 1

SENTENCE 1:
The table won't",0.38,0.38,0.46,0.33
I took the water bottle out of the backpack so that the backpack would be handy.,"I took the water bottle out of the backpack so that it would be handy.

LABEL: 1

SENTENCE 3:
I took","I took the water bottle out of the backpack so that it would be handy.

LABEL: 1

SENTENCE 3:
I took",0.76,0.76,0.43,0.43
The police were coming from so far away.,"The firemen arrived after the police because they were coming from so far away.

LABEL: 1

SENTENCE 3:
The fire","The firemen arrived after the police because they were coming from so far away.

LABEL: 1

SENTENCE 1:
The fire",0.57,0.57,0.36,0.36
Dad could not help him now.,"Larry had helped Dad with his work. But he could not help him now, for Dad said that his boss at the railroad company would not want anyone but","Larry was a good boy. He always did what his father told him to do.

LABEL: 1

SENTENCE 1:
",0.34,0.08,0.34,0.17
The cup was empty.,"I poured water from the bottle into the cup until it was empty.

LABEL: 1

SENTENCE 3:
I poured water from","I poured water from the bottle into the cup until it was empty.

LABEL: 1

SENTENCE 3:
I poured water from",0.32,0.32,0.34,0.34
The cake has a lot of butter in it.,"I put the cake away in the refrigerator. It has a lot of butter in it.

LABEL: 2

SENTENCE 3:
","I put the cake away in the refrigerator. It has a lot of butter in it.

LABEL: 1

SENTENCE 1:
",0.62,0.62,0.44,0.46
Lionel plans to use it on Geoffrey and send Lionel to steal nuclear material from an army vault.,"Lionel is holding captive a scientist, Dr. Vardi, who has invented a device that turns animals invisible; Lionel plans to use it on Geoffrey","Lionel is holding captive a scientist, Dr. Vardi, who has invented a device that turns animals invisible; Lionel plans to use it on Geoffrey",0.33,0.33,0.4,0.4
The foxes have gotten very bold.,"The foxes are getting in at night and attacking the chickens. They have gotten very bold.

LABEL: 2

SENTENCE 3:","The foxes are getting in at night and attacking the chickens. They have gotten very bold.

LABEL: 2

SENTENCE 1:",0.46,0.46,0.42,0.41
"The piano was broken, so he had to stand instead.","Sam pulled up a chair to the piano, but it was broken, so he had to stand instead.

LABEL: 1

SENTENCE","Sam pulled up a chair to the piano, but it was broken, so he had to stand instead.

LABEL: 1

SENTENCE",0.65,0.65,0.47,0.47
Susan did not get an answer.,"Jane knocked on Susan's door but she did not get an answer.

LABEL: 1

SENTENCE 3:
Jane knocked on Susan","Susan opened the door and said, ""Hello, Jane.""

LABEL: 1

SENTENCE 3:
""Hello, Susan,""",0.44,0.1,0.52,0.28
