completion,generated_general_completion,generated_guided_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
The church is filled with song.,"This church choir sings to the masses as they sing joyous songs from the book at a church.

LABEL: 1

SENTENCE 3","This church choir sings to the masses as they sing joyous songs from the book at a church.

LABEL: 1

SENTENCE 3",0.14,0.14,0.33,0.33
A choir singing at a baseball game.,"The choir sings to the masses as they sing joyous songs from the book at a church.

LABEL: 3

SENTENCE 3:","This church choir sings to the masses as they sing joyous songs from the book at a church.

LABEL: 3

SENTENCE 3",0.21,0.21,0.22,0.23
The woman is very happy.,"A woman with a green headscarf, blue shirt and a very big grin.

LABEL: 1

SENTENCE 3:
A","A woman with a green headscarf, blue shirt and a very big grin.

LABEL: 1

SENTENCE 3:
A",0.17,0.17,0.21,0.21
The woman has been shot.,"A woman with a green headscarf, blue shirt and a very big grin.

LABEL: 3

SENTENCE 3:
A","A woman with a green headscarf, blue shirt and a very big grin.

LABEL: 3

SENTENCE 3:
A",0.09,0.09,0.17,0.17
A man poses in front of an ad.,"A man with a package poses in front of an advertisement.

LABEL: 1

SENTENCE 3:
A man with a package poses","A man with a package poses in front of an advertisement.

LABEL: 1

SENTENCE 3:
A man with a package poses",0.48,0.48,0.56,0.56
A man walks by an ad.,"The old man with the package poses in front of an advertisement.

LABEL: 3

SENTENCE 3:
The old man with the","An old man with a package poses in front of an advertisement.

LABEL: 3

SENTENCE 3:
An old man with a",0.15,0.15,0.32,0.34
There is a statue that not many people seem to be interested in.,"A statue at a museum that no seems to be looking at.

LABEL: 1

SENTENCE 3:
A statue at a museum","A statue at a museum that no seems to be looking at.

LABEL: 1

SENTENCE 3:
A statue at a museum",0.29,0.29,0.45,0.45
Tons of people are gathered around the statue.,"A statue at a museum that no seems to be looking at.

LABEL: 3

SENTENCE 3:
A statue at a museum","A statue at a museum that no seems to be looking at.

LABEL: 3

SENTENCE 3:
A statue at a museum",0.07,0.07,0.32,0.32
A Land Rover is splashing water as it crosses a river.,"A land rover is being driven across a river.

LABEL: 1

SENTENCE 3:
A land rover is being driven across a","A land rover is being driven across a river.

LABEL: 1

SENTENCE 3:
A land rover is being driven across a",0.37,0.37,0.41,0.41
A vehicle is crossing a river.,"A land rover is being driven across a river.

LABEL: 1

SENTENCE 3:
A land rover is being driven across a","A land rover is being driven across a river.

LABEL: 1

SENTENCE 3:
A land rover is being driven across a",0.3,0.3,0.45,0.45
A sedan is stuck in the middle of a river.,"A man is walking across a field.

LABEL: 3

SENTENCE 3:
A man is walking across a field.

","The river is a long, narrow, and deep river.

LABEL: 3

SENTENCE 3:
The river is a wide,",0.21,0.21,0.52,0.3
A man playing banjo on the floor.,"A man playing an electric guitar on stage.

LABEL: 1

SENTENCE 3:
A man playing an electric guitar on stage.","A man playing an electric guitar on stage.

LABEL: 3

SENTENCE 3:
A man playing an electric guitar on stage.",0.3,0.3,0.57,0.59
A man playing guitar on stage.,"A man playing an electric guitar on stage.

LABEL: 1

SENTENCE 3:
A man playing an electric guitar on stage.","A man playing an electric guitar on stage.

LABEL: 1

SENTENCE 3:
A man playing an electric guitar on stage.",0.46,0.46,0.71,0.71
A doctor is looking at a book,"A blond-haired doctor and her African american assistant looking threw new medical manuals.

LABEL: 1

SENTENCE 3:
A","A blond-haired doctor and her African american assistant looking threw new medical manuals.

LABEL: 1

SENTENCE 3:
A",0.31,0.31,0.23,0.23
