completion,generated_general_completion,generated_guided_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
Weapons of Mass Destruction Found in Iraq.,"The United States has not found any weapons of mass destruction in Iraq yet.

LABEL: 2

SENTENCE 3:
The United States","The United States has not found any weapons of mass destruction in Iraq yet, but the United States is not ruling out the possibility that such weapons exist.

",0.43,0.34,0.34,0.58
Pope Benedict XVI is the new leader of the Roman Catholic Church.,"The new pope, Benedict XVI, is the first non-Italian pope in 1,000 years.

LABEL: 1

SENTENCE","The new pope, Benedict XVI, is the first non-European pope in 1,000 years.

LABEL: 1

SENTENCE",0.33,0.33,0.19,0.19
Herceptin can be used to treat breast cancer.,"The company said, Monday, it will discuss with federal regulators the possibility of prescribing the drug for more breast cancer patients.

LABEL: 1

","The company said, Monday, it will discuss with federal regulators the possibility of prescribing the drug for more breast cancer patients.

LABEL: 1

",0.13,0.13,0.18,0.18
The previous name of Ho Chi Minh City was Saigon.,"The Vietnam Heart Institute is a medical service company that helps sustain the 2-year-old Vietnam Heart Institute in Ho Chi Minh City (formerly Saigon),","The Vietnam Heart Institute is a medical service company that helps sustain the 2-year-old Vietnam Heart Institute in Ho Chi Minh City (formerly Saigon),",0.33,0.33,0.33,0.33
Paul Stewart Hutchinson is accused of having stabbed a girl.," been charged with her murder.

SENTENCE 2:
The trial of Paul Stewart Hutchinson, 50, for the murder of Colette Aram"," to be that of a young woman.

SENTENCE 2:
A man is due in court later charged with the murder of a teenager whose case",0.27,0.17,0.33,0.34
"Bakri was briefly detained, but was released.","Britain said, Friday, that it has barred cleric, Omar Bakri, from returning to the country from Lebanon, where he was released by police after","The British government said Friday that it had barred cleric Omar Bakri from returning to the country from Lebanon, where he was released by police after being detained for",0.19,0.17,0.35,0.36
Three quarters of U.S. illegal immigrants have children.," immigrants are U.S. citizens, according to the study.

SENTENCE 2:
The study found that the children of illegal immigrants are more"," to be born in the U.S.

SENTENCE 2:
The study also found that the children of illegal immigrants are more likely to be",0.26,0.24,0.38,0.29
Aristide had Prime Minister Robert Malval  murdered in Port-au-Prince.,The United States is dismayed that the United Nations is dismayed that Aristide killed a conference called by Prime Minister Robert Malval in Port-au-Prince,"The United States, U.N. officials are also dismayed that Aristide killed a conference called by Prime Minister Robert Malval in Port-au-Prince",0.49,0.51,0.41,0.41
Dick Cheney was the Vice President of Bush.,"-

SENTENCE 2:
The Bush administration's legal team, which included then-White House counsel Alberto Gonzales and then-Deputy Attorney"," Rice.

SENTENCE 2:
The Bush administration's legal justification for harsh interrogation techniques was not based on a single memo, but on a series",0.14,0.12,0.12,0.11
Microsoft's Hotmail has raised its storage capacity to 250MB.,Microsoft is a company that has been in the forefront of the Internet revolution. It has been a pioneer in the development of the Internet and has been a leader in,"The company said it would also offer a new service called Hotmail Express, which will allow users to send and receive e-mail messages without having to log on",0.1,0.1,0.25,0.32
Lina Joy's parents are from Malaysia.," as Azlina Jailani.

SENTENCE 2:
Joy's parents, who are both Muslim, were not happy with the change. They","ad, she was still called Azlina Jailani.

SENTENCE 2:
The Malaysian government has been accused of being slow to respond to",0.31,0.0,0.21,0.08
The Berlin Wall was torn down in 1989.," Europe.

SENTENCE 2:
The fall of the Berlin Wall was the beginning of the end for communism in Europe.

The correct answer"," as a way to test the new openness of the East German regime.

SENTENCE 2:
The East Germans were not the only ones to take",0.33,0.06,0.35,0.07
"Valero Energy Corp. produces 250,000 barrels per day.","The refinery is the largest in the nation and the second-largest in the world.

LABEL: 1

SENTENCE 3:
","The refinery, which is owned by Valero Energy Corp., said it found ""extensive"" additional damage at its 250,000-barrel-per",0.0,0.4,0.09,0.34
Oil prices rise.,"Yukos oil threat lifted

SENTENCE 1:
Oil prices fall back as Yukos oil threat lifted

SENTENCE 2:","The oil price fell back on Monday as the threat of a Yukos oil
spill was lifted, but the market was still down for the week.
",0.2,0.07,0.68,0.26
"The quarterback threw for 413 yards and three touchdowns, and then ran to the end zone two more times.","The Cardinals are a team that has been in the national spotlight for a long time.

LABEL: 2

SENTENCE 3:
The","The Cardinals (4-1, 2-0) are off to their best start since the 2007 season.

LABEL: 2

SENT",0.15,0.16,0.1,0.21
Greg Page was a WBA champion.," round.

SENTENCE 2:
Page was born in the UK in 1952 and was a professional boxer from the age of 16. He won"," bout with former champion Lennox Lewis.

SENTENCE 2:
Page, who was born in the UK, was a former heavyweight boxing champion",0.21,0.3,0.2,0.3
"Sierra once reached the finals of ""American Idol""."," from the stage.

SENTENCE 2:
Sierra is likely to remain in jail at the Hillsborough County jail in her native Tampa until her"," at a concert in Tampa.

SENTENCE 2:
Sierra is likely to remain in jail at the Hillsborough County jail in her native Tampa",0.13,0.13,0.15,0.32
In the early 1990s Brazil began to take action to save the rainforest.,"The Brazilian government has taken steps to dramatically reduce the destruction, including stepped-up enforcement and the elimination of tax incentives that led to large-scale land clearing.","The Brazilian government has taken steps to dramatically reduce the destruction, including stepped-up enforcement and the elimination of tax incentives that led to large-scale land clearing.",0.15,0.15,0.37,0.37
Sepp Blatter is the president of FIFA.," the FIFA Executive Committee will select the host country at a meeting in Moscow on June 13, 2010.

SENTENCE 2:
The FIFA Executive Committee",", the United States, Canada, Mexico, and the United States.

SENTENCE 2:
The 2018 FIFA World Cup will be held in Russia",0.13,0.14,0.19,0.17
"Crude the light American lowered to the closing 1.32 dollars, to 42.83 dollars the barrel.","U.S. crude settled $1.32 lower at $42.83 a barrel.

LABEL: 2

SENTENCE 3:","The U.S. crude oil futures contract for delivery in December closed at $42.83 a barrel on the New York Mercantile Exchange on Thursday,",0.36,0.19,0.37,0.34
In 2002 near Stuttgart a boy shot 16 people.,"age of the gunman, who was identified as a 17-year-old German citizen.

SENTENCE 2:
The gunman, who"," in the wake of a series of school shootings in the United States, on edge.

SENTENCE 2:
The gunman, who was not",0.07,0.13,0.16,0.11
Everglades National Park is located in Florida.,"The sale of the Palm Beach and Hendry County properties is expected to raise $1.5 billion for the Everglades restoration.

LABEL:","The sale of the two counties is expected to bring in $1.5 billion for the state.

LABEL: 2

SENTENCE 1",0.07,0.14,0.11,0.02
Rabies is fatal in humans.,"The virus is transmitted by the bite of an infected animal.

LABEL: 1

SENTENCE 3:
The virus is transmitted by the","The virus is transmitted by the bite of an infected animal.

LABEL: 1

SENTENCE 1:
The virus is transmitted by the",0.08,0.08,0.28,0.29
PM often entered markets with both cigarettes and food.,"The tobacco companies were showing a profit most quarters due to export sales of cigarettes and diversification of products sold including food.

LABEL: 2

","The American tobacco companies were showing a profit most quarters due to export sales of cigarettes and diversification of products sold including food.

LABEL: 2
",0.18,0.18,0.31,0.32
"Humans existed 10,000 years ago.","The development of agriculture by early humans, roughly 10,000 years ago, was also harmful to many natural ecosystems as they were systematically destroyed and replaced with artificial versions","The development of agriculture by early humans, roughly 10,000 years ago, was also harmful to many natural ecosystems as they were systematically destroyed and replaced with artificial versions",0.29,0.29,0.33,0.33
Pibul was a young leader.,"The two young leaders of the coup, Pibul Songgram and Pridi Phanomyang, both educated in Europe and influenced by Western ideas, came","The two young leaders of the coup, Pibul Songgram and Pridi Phanomyang, both educated in Europe and influenced by Western ideas, came",0.07,0.07,0.28,0.28
"Lin Piao wrote the ""Little Red Book"".","Lin Piao, after all, was the creator of Mao's ""Little Red Book"" of quotations.

LABEL: 1

SENTENCE","The Little Red Book of Mao Zedong

The Little Red Book of Mao Zedong is a collection of quotations by Mao Zedong, the",0.48,0.27,0.35,0.33
