loss,zlib,mink_0.1,mink_0.2,mink_0.3,mink_0.4,mink_0.5,mink_0.6,mink_0.7,mink_0.8,mink_0.9,mink_1.0,mink++_0.1,mink++_0.2,mink++_0.3,mink++_0.4,mink++_0.5,mink++_0.6,mink++_0.7,mink++_0.8,mink++_0.9,mink++_1.0
-2.6863057613372803,-0.008447502394142391,-8.769840240478516,-7.200376033782959,-6.24411678314209,-5.5243401527404785,-4.792654991149902,-4.199262619018555,-3.7575647830963135,-3.3477466106414795,-2.9901304244995117,-2.686305284500122,-2.1016292572021484,-1.5305824279785156,-1.1168488264083862,-0.8574496507644653,-0.6553255319595337,-0.4964730143547058,-0.3711296021938324,-0.24784676730632782,-0.13462664186954498,-0.016753189265727997
-1.8126016855239868,-0.0070255879283875455,-9.216811180114746,-7.184217929840088,-5.481892108917236,-4.453390598297119,-3.618891477584839,-3.0171120166778564,-2.6112329959869385,-2.277625322341919,-2.019120931625366,-1.812601923942566,-2.028096914291382,-1.3081367015838623,-0.8558294177055359,-0.6293824911117554,-0.4737507700920105,-0.3644663095474243,-0.2821879982948303,-0.20433039963245392,-0.1253506988286972,-0.018607372418045998
-2.9304957389831543,-0.009129270214900792,-9.758755683898926,-8.417049407958984,-7.158194065093994,-6.2331037521362305,-5.372675895690918,-4.700674533843994,-4.165876865386963,-3.6728274822235107,-3.2629175186157227,-2.9304957389831543,-2.5851573944091797,-1.8983863592147827,-1.4087506532669067,-1.0668977499008179,-0.8137160539627075,-0.6322256922721863,-0.4982934296131134,-0.3674166202545166,-0.24075645208358765,-0.11201244592666626
-2.524270534515381,-0.007695946751571283,-9.115361213684082,-7.4557061195373535,-6.197948455810547,-5.3348517417907715,-4.612659454345703,-4.031188011169434,-3.5764272212982178,-3.1634252071380615,-2.8110766410827637,-2.5242702960968018,-2.249069929122925,-1.591291904449463,-1.1050468683242798,-0.8281587958335876,-0.6190047264099121,-0.4664697051048279,-0.3513858914375305,-0.24176955223083496,-0.13904955983161926,-0.02598046138882637
-2.2504303455352783,-0.007354347534429014,-9.097321510314941,-7.405452251434326,-5.909416675567627,-4.965577602386475,-4.229271411895752,-3.6404800415039062,-3.2081499099731445,-2.8200066089630127,-2.505662679672241,-2.25042986869812,-2.2798173427581787,-1.5883647203445435,-1.114983320236206,-0.8250004053115845,-0.6116499304771423,-0.45733511447906494,-0.33998221158981323,-0.22918030619621277,-0.12388315051794052,-0.012657616287469864
-3.0943944454193115,-0.00979238748550415,-10.655383110046387,-8.589125633239746,-7.256354808807373,-6.430768013000488,-5.658786773681641,-4.9519476890563965,-4.397547245025635,-3.8772964477539062,-3.445669651031494,-3.0943939685821533,-2.2085676193237305,-1.5574145317077637,-1.1158881187438965,-0.8472198247909546,-0.6454468965530396,-0.4921758472919464,-0.37741515040397644,-0.2679702937602997,-0.1615050584077835,-0.03817422315478325
-2.161586046218872,-0.006283680366915326,-9.360042572021484,-7.390340805053711,-5.965591907501221,-4.957435131072998,-4.163573741912842,-3.5520012378692627,-3.102687120437622,-2.7147128582000732,-2.40753173828125,-2.1615853309631348,-2.248136520385742,-1.4591631889343262,-0.9562633633613586,-0.7037663459777832,-0.5253917574882507,-0.3930215835571289,-0.2917990982532501,-0.19653159379959106,-0.0982508659362793,0.015427234582602978
-3.100972890853882,-0.008988327219866324,-10.978137969970703,-9.087624549865723,-7.716784954071045,-6.659561634063721,-5.738375186920166,-4.988915920257568,-4.412074565887451,-3.884692907333374,-3.4532551765441895,-3.1009719371795654,-3.0077154636383057,-2.130948305130005,-1.6286803483963013,-1.2716807126998901,-0.9900220632553101,-0.7782008647918701,-0.6193155646324158,-0.4766560196876526,-0.34370332956314087,-0.1992274969816208
-2.298896551132202,-0.006475764932766767,-9.496611595153809,-7.4491987228393555,-5.851131439208984,-4.942847728729248,-4.248183727264404,-3.6927831172943115,-3.2660257816314697,-2.8806967735290527,-2.559629440307617,-2.298896074295044,-2.078183650970459,-1.384068250656128,-0.9358220100402832,-0.6878389716148376,-0.5043831467628479,-0.3713783323764801,-0.269100546836853,-0.16656877100467682,-0.06906065344810486,0.03931683674454689
-2.7101190090179443,-0.008549271321823168,-8.992535591125488,-7.572267055511475,-6.617588043212891,-5.779878616333008,-5.0129523277282715,-4.370693683624268,-3.855713129043579,-3.397082567214966,-3.0173397064208984,-2.7101187705993652,-2.446641206741333,-1.7349748611450195,-1.2935632467269897,-0.9881667494773865,-0.7535532712936401,-0.5823445320129395,-0.45476487278938293,-0.3319699764251709,-0.21953585743904114,-0.0897240862250328
