loss,zlib,mink_0.1,mink_0.2,mink_0.3,mink_0.4,mink_0.5,mink_0.6,mink_0.7,mink_0.8,mink_0.9,mink_1.0,mink++_0.1,mink++_0.2,mink++_0.3,mink++_0.4,mink++_0.5,mink++_0.6,mink++_0.7,mink++_0.8,mink++_0.9,mink++_1.0
-2.361367702484131,-0.013191998337900173,-8.688640594482422,-7.447537422180176,-6.1426215171813965,-5.166971683502197,-4.4337615966796875,-3.8472726345062256,-3.3684420585632324,-2.9789578914642334,-2.655456066131592,-2.36136794090271,-1.7186779975891113,-1.3282883167266846,-0.9644846320152283,-0.7153079509735107,-0.5413733720779419,-0.40745294094085693,-0.29674026370048523,-0.19367854297161102,-0.09136255830526352,0.039849936962127686
-2.5320212841033936,-0.01368660153569402,-8.717928886413574,-7.809493541717529,-6.68422269821167,-5.631669044494629,-4.817245006561279,-4.145339488983154,-3.60081148147583,-3.1676180362701416,-2.8166494369506836,-2.5320215225219727,-1.5858334302902222,-1.289538860321045,-1.0126256942749023,-0.7625138163566589,-0.5833930373191833,-0.4440561532974243,-0.32941585779190063,-0.2289247214794159,-0.12538586556911469,-0.007983095943927765
-2.2902438640594482,-0.011566888202320446,-8.269364356994629,-7.192821502685547,-6.037679195404053,-5.0985870361328125,-4.304786682128906,-3.7328970432281494,-3.263396739959717,-2.88151216506958,-2.5716607570648193,-2.2902438640594482,-1.4426149129867554,-1.0868760347366333,-0.7543563842773438,-0.5449473857879639,-0.3818502426147461,-0.26807916164398193,-0.17006859183311462,-0.0817173570394516,0.007972377352416515,0.12286215275526047
-2.8378005027770996,-0.01594269945380393,-9.572699546813965,-8.608957290649414,-7.4022603034973145,-6.301217079162598,-5.357226848602295,-4.654043674468994,-4.081016540527344,-3.5523672103881836,-3.180997371673584,-2.8378002643585205,-2.085036277770996,-1.5733792781829834,-1.2126786708831787,-0.9474375247955322,-0.728941798210144,-0.5842090845108032,-0.46403032541275024,-0.3446055054664612,-0.23826107382774353,-0.10143202543258667
-2.610222578048706,-0.011918824557300027,-9.162428855895996,-7.959224224090576,-6.803351402282715,-5.751619338989258,-4.928986072540283,-4.2663092613220215,-3.730053186416626,-3.289811611175537,-2.931313991546631,-2.610222339630127,-2.2975950241088867,-1.6575913429260254,-1.220082402229309,-0.9170016050338745,-0.7109584212303162,-0.5553045868873596,-0.42613279819488525,-0.31251010298728943,-0.19989927113056183,-0.06312883645296097
-2.5381407737731934,-0.012565053335510858,-8.88234806060791,-7.96971321105957,-6.819037437438965,-5.614034175872803,-4.8399529457092285,-4.127230644226074,-3.619719982147217,-3.1643662452697754,-2.8378102779388428,-2.5381412506103516,-1.7487380504608154,-1.3593946695327759,-1.024917483329773,-0.7391725778579712,-0.5633466839790344,-0.4097517132759094,-0.2984802722930908,-0.1910349428653717,-0.09661944955587387,0.026260094717144966
-2.437556743621826,-0.012310892644554677,-8.881253242492676,-7.973667144775391,-6.626153945922852,-5.435441493988037,-4.639847278594971,-4.013769626617432,-3.4514498710632324,-3.0579633712768555,-2.7333695888519287,-2.437556505203247,-1.7031781673431396,-1.3357274532318115,-0.9928708076477051,-0.7127904295921326,-0.5409887433052063,-0.4036594331264496,-0.27128270268440247,-0.16596262156963348,-0.06046239286661148,0.0627225935459137
-2.324439525604248,-0.013673173680024988,-8.450865745544434,-7.482386112213135,-6.343468189239502,-5.218088150024414,-4.385825157165527,-3.811948537826538,-3.298668146133423,-2.936035633087158,-2.5971829891204834,-2.324439287185669,-1.5021885633468628,-1.1738379001617432,-0.9054433703422546,-0.6549487709999084,-0.48135337233543396,-0.36390504240989685,-0.2493583858013153,-0.15685388445854187,-0.05604664608836174,0.05603649839758873
-2.416548013687134,-0.011507371493748256,-8.826394081115723,-7.678769111633301,-6.416129112243652,-5.38958215713501,-4.573159694671631,-3.982388973236084,-3.453035831451416,-3.030813455581665,-2.691141366958618,-2.416548490524292,-1.6492362022399902,-1.285756230354309,-0.9267399311065674,-0.6706699132919312,-0.4938817024230957,-0.3739255666732788,-0.26170143485069275,-0.16450920701026917,-0.06862618774175644,0.039362963289022446
-2.783700704574585,-0.013255717640831357,-10.14688491821289,-8.540976524353027,-7.256931781768799,-6.083856582641602,-5.261861801147461,-4.510258674621582,-3.967445135116577,-3.4711575508117676,-3.1123790740966797,-2.783700942993164,-1.8317763805389404,-1.3658227920532227,-1.0755815505981445,-0.7979216575622559,-0.6219046711921692,-0.4693508446216583,-0.35403352975845337,-0.2366657257080078,-0.1298636794090271,0.0036522976588457823
