completion,generated_general_completion,generated_guided_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
Everyone really likes the newest benefits ,"The new rights are nice enough

LABEL: 2

SENTENCE 3:
The new rights are nice enough

LABEL: 3","The new rights are nice enough

LABEL: 2

SENTENCE 3:
The new rights are nice enough

LABEL: 3",0.08,0.08,0.53,0.53
The Government Executive articles housed on the website are not able to be searched.,"The Government Executive is a trade publication that covers the federal government.

LABEL: 3

SENTENCE 3:
The Government Executive is a","This site includes a list of all award winners and a searchable database of Government Executive articles.

LABEL: 3

SENTENCE 3:",0.23,0.17,0.29,0.29
"I like him for the most part, but would still enjoy seeing someone beat him.","uh i don't know i i have mixed emotions about him uh sometimes i like him but at the same times i love to see somebody beat him

LAB","uh i don't know i i have mixed emotions about him uh sometimes i like him but at the same times i love to see somebody beat him

LAB",0.27,0.27,0.53,0.53
My favorite restaurants are always at least a hundred miles away from my house. ,yeah i i think my favorite restaurant is always been the one closest  you know the closest as long as it's it meets the minimum criteria you know of good,"i think my favorite restaurant is always been the one closest to my house

LABEL: 3

SENTENCE 3:
i think my favorite",0.13,0.28,0.39,0.44
I know exactly.,"i don't know um do you do a lot of camping

LABEL: 3

SENTENCE 3:
i don't know um do","i don't know um do you do a lot of camping

LABEL: 3

SENTENCE 3:
i don't know um do",0.16,0.16,0.29,0.29
We have plenty of space in the landfill.,"
LABEL: 3

SENTENCE 3:

LABEL: 4

SENTENCE 4:

LABEL: 5
","
well that would be a help i wish they would do that here we have got so little landfill space left that we're going to run out before the end",0.0,0.21,0.18,0.42
I did that all through college but it never worked ,"yeah i know and i did that all through college and it worked too

LABEL: 3

SENTENCE 3:
yeah i know and","i know but i was just wondering if there was a way to do it without having to do that

LABEL: 3

SENTENCE 3",0.5,0.18,0.5,0.16
Most of Mrinal Sen's work can be found in European collections.,"The only other production center having any pretensions to artistic creativity at all, but ironically you're actually more likely to see the works of Satyajit Ray","The only other production center having any pretensions to artistic creativity at all, but ironically you're actually more likely to see the works of Satyajit Ray",0.05,0.05,0.35,0.35
THe strike price could be $8.,"If that investor were willing to pay extra for the security of limited downside, she could buy put options with a strike price of $98, which would lock in","If that investor were willing to pay extra for the security of limited downside, she could buy put options with a strike price of $98, which would lock in",0.17,0.17,0.28,0.28
Would you rise up and defeaat all evil lords in the town?,"4)  Dare you rise to the occasion, like Raskolnikov, and reject the petty rules that govern lesser men?

LABEL:","4)  Dare you rise to the occasion, like Raskolnikov, and reject the petty rules that govern lesser men?

LABEL:",0.26,0.26,0.42,0.42
"Go downwards to one of the gates, all of which will lead you into the cathedral.","The most important directions are simply up and up leads eventually to the cathedral and fortress commanding the hilltop, and down inevitably leads to one of three gates through the","The most important directions are simply up and up leads eventually to the cathedral and fortress commanding the hilltop, and down inevitably leads to one of three gates through the",0.22,0.22,0.38,0.38
The Tamils' bhakti movement froze the previously warm ritual of Hinduism.,"The bhakti movement of the Tamils brought a new warmth to the hitherto rigid Brahmanic ritual of Hinduism.

LABEL: 3
","The bhakti movement of the Tamils brought a new warmth to the hitherto rigid Brahmanic ritual of Hinduism.

LABEL: 3
",0.45,0.45,0.56,0.56
Everyone involved was the same age., get into your sexual life and you know you're just starting to get into your sexual life and you know you're just starting to get into your sexual life and, a very young age to be having sex with a woman and i think that they were very young and i think that they were very inexperienced and i think that they,0.0,0.05,0.45,0.27
Severn said the people were not welcome there.,"You and your friends are not welcome here, said Severn.

LABEL: 1

SENTENCE 3:
You and your friends are","You and your friends are not welcome here, said Severn.

LABEL: 1

SENTENCE 3:
You and your friends are",0.15,0.15,0.35,0.35
We don't loan a lot of money.,'t know what the government is going to do with it and you know it's kind of funny because we loan money with strings attached and if the government changes and, back the loan and um i can see why they might not want to pay back the loan and um i can see why they might not want to pay back the,0.15,0.05,0.31,0.54
I don't know how cold it got last night.,"i'm not sure what the overnight high was

LABEL: 1

SENTENCE 3:
i'm not sure what the overnight low was","i'm not sure what the overnight low was

LABEL: 1

SENTENCE 3:
i'm not sure what the overnight low was",0.06,0.06,0.43,0.57
I need a way to add something extra.,"so i have to find a way to supplement that

LABEL: 1

SENTENCE 3:
so i have to find a way to","
SENTENCE 1:

SENTENCE 2:

SENTENCE 1:

SENTENCE 2:

SENTENCE",0.27,0.0,0.38,0.29
Sometimes it is amusing to see what the hologram creates.,and uh i mean sometimes it's funny sometimes it's not but uh you know it's something to pass the time until we do and then and then we watch,and uh i mean sometimes it's funny sometimes it's not but uh you know it's something to pass the time until we do and then and then we watch,0.19,0.19,0.35,0.35
Gross national saving was highest this year.,"6 The share of gross national saving used to replace depreciated capital has increased over the past 40 years.

LABEL: 2

SENT","6 The share of gross national saving used to replace depreciated capital has increased over the past 40 years.

LABEL: 2

SENT",0.21,0.21,0.18,0.18
The amount of lost mail is huge and really impacts mail volume,"The number of mail pieces lost to alternative bill-paying methods is too small to have any material impact on First-Class volume.

LABEL: 3","The number of mail pieces lost to alternative bill-paying methods is too small to have any material impact on First-Class volume.

LABEL: 3",0.27,0.27,0.32,0.32
"You don't want to push the button lightly, but rather punch it hard.","you want to punch the button and go

LABEL: 2

SENTENCE 3:
you want to punch the button and go

","you want to punch the button and go

LABEL: 2

SENTENCE 3:
you want to punch the button and go

",0.35,0.35,0.48,0.48
It has a buffet.,"Buffet and a  la carte available.

LABEL: 1

SENTENCE 3:
Buffet and a  la carte","Buffet and a la carte available.

LABEL: 1

SENTENCE 3:
Buffet and a la carte available.",0.21,0.2,0.51,0.57
Clinton said that Monica Lewinsky made unwanted sexual advances during her time as a journalist in the White House. ,"Blumenthal said Clinton had told him that Lewinsky had made unwanted sexual advances.

LABEL: 2

SENTENCE 3:
Blumenthal","Blumenthal says Clinton had told him that Lewinsky had made unwanted sexual advances.

LABEL: 2

SENTENCE 3:
Blumenthal",0.38,0.38,0.34,0.35
Leading organizations want to be sure their employees are safe.,"We also have found that leading organizations strive to ensure that their core processes efficiently and effectively support mission-related outcomes.

LABEL: 2

S","We also have found that leading organizations strive to ensure that their core processes efficiently and effectively support mission-related outcomes.

LABEL: 2

S",0.24,0.24,0.24,0.24
"No, they wouldn't go there.","oh uh-huh well no they wouldn't would they no

LABEL: 2

SENTENCE 3:
oh uh-huh","oh uh-huh well no they wouldn't would they no

LABEL: 2

SENTENCE 3:
oh uh-huh",0.33,0.33,0.35,0.35
This is how things are and there are no apologies about it.,"I'm sorry but that's how it is.

LABEL: 3

SENTENCE 3:
I'm sorry but that's how it","Sorry but that's how it is.

LABEL: 3

SENTENCE 3:
Sorry but that's how it is.

",0.18,0.2,0.51,0.59
Pope John Paul II also visited in 1983.,"The Papal Crose commemorating Pope John Paul II's visit in 1979, when more than one million people gathered to celebrate mass.

LABEL:","The Papal Crose commemorating Pope John Paul II's visit in 1979, when more than one million people gathered to celebrate mass.

LABEL:",0.32,0.32,0.26,0.26
Tourism is not very big in Spain.,"The tourist industry continued to expand, and though it became one of the top two income earners in Spain, a realization that unrestricted mass tourism was leading to damaging long","The tourist industry continued to expand, and though it became one of the top two income earners in Spain, a realization that unrestricted mass tourism was leading to damaging long",0.11,0.11,0.23,0.23
She had changed a lot since the last time we'd seen her.,"She seemed so different  ""

LABEL: 2

SENTENCE 3:
She seemed so different  ""

LABEL: 3","She seemed so different  ""

LABEL: 2

SENTENCE 3:
She seemed so different  ""

LABEL: 3",0.07,0.07,0.59,0.59
I cannot wait for it to happen.,"i'm not opposed to it but when its when the time is right it will probably just kind of happen you know

LABEL: 2

S","i'm not opposed to it but when its when the time is right it will probably just kind of happen you know

LABEL: 2

S",0.18,0.18,0.2,0.2
The 1931 Malay census was an alarm bell.,"The census of 1931 served as an alarm signal for the Malay national consciousness.

LABEL: 1

SENTENCE 3:
The census","The census of 1931 served as an alarm signal for the Malay national consciousness.

LABEL: 1

SENTENCE 3:
The census",0.29,0.29,0.41,0.41
Many youth are lazy.,The only thing that is certain is that the only thing that is certain is that the only thing that is certain is that the only thing that is certain is that,The only thing that is certain is that the only thing that is certain is that the only thing that is certain is that the only thing that is certain is that,0.0,0.0,0.39,0.39
Interest rates should increase to increase saving.,"The government’s ability to borrow money is limited by the amount of tax revenue it can collect.

LABEL: 3

SENTENCE","The government’s saving rate is the amount of money it spends less than it takes in.

LABEL: 3

SENTENCE 3",0.07,0.07,0.09,0.25
