completion,generated_general_completion,generated_guided_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
Everyone really likes the newest benefits ,"The new rights are nice enough

LABEL: 2

SENTENCE 3:
The new rights are nice enough

LABEL: 3","The new rights are nice enough

LABEL: 2

SENTENCE 1:
The new rights are nice enough

LABEL: 3",0.08,0.08,0.53,0.48
The Government Executive articles housed on the website are not able to be searched.,"This site includes a list of all award winners and a searchable database of Government Executive articles.

LABEL: 2

SENTENCE 3:","This site includes a list of all award winners and a searchable database of Government Executive articles.

LABEL: 3

SENTENCE 3:",0.17,0.17,0.25,0.29
"I like him for the most part, but would still enjoy seeing someone beat him.","uh i don't know i i have mixed emotions about him sometimes i like him but at the same times i love to see somebody beat him

LABEL","i don't know i i have mixed emotions about him sometimes i like him but at the same times i love to see somebody beat him

LABEL:",0.27,0.28,0.45,0.46
My favorite restaurants are always at least a hundred miles away from my house. ,"yeah i i think my favorite restaurant is always been the one closest as long as it's it meets the minimum criteria you know of good food

LAB","yeah i i think my favorite restaurant is always been the one closest as long as it's it meets the minimum criteria you know of good food

LAB",0.14,0.14,0.36,0.36
I know exactly.,"i don't know do you do a lot of camping

LABEL: 2

SENTENCE 3:
i don't know do you do","i don't know do you do a lot of camping

LABEL: 3

SENTENCE 3:
i don't know do you do",0.16,0.16,0.3,0.32
We have plenty of space in the landfill.,well that would be a help i wish they would do that here we have got so little landfill space left that we're going to run out before the end,"i think that's a good idea

LABEL: 3

SENTENCE 3:
i think that's a good idea

LABEL",0.21,0.0,0.42,0.46
I did that all through college but it never worked ,"yeah i know and i did that all through college and it worked too

LABEL: 2

SENTENCE 3:
yeah i","yeah i know and i did that all through college and it worked too

LABEL: 3

SENTENCE 2:
yeah i",0.53,0.53,0.36,0.36
Most of Mrinal Sen's work can be found in European collections.,"The only other production center having any pretensions to artistic creativity at all is Calcutta, but ironically you're actually more likely to see the works of","Calcutta seems to be the only other production center having any pretensions to artistic creativity at all, but ironically you're actually more likely to see the",0.05,0.05,0.23,0.19
THe strike price could be $8.,"If that investor were willing to pay extra for the security of limited upside, she could buy call options with a strike price of $98, which would lock in","If that investor were willing to pay extra for the security of limited downside, she could buy put options with a strike price of $98, which would lock in",0.17,0.17,0.28,0.28
Would you rise up and defeaat all evil lords in the town?,"4)  I am not a man of rules, but I am a man of principles.

LABEL: 2

SENTENCE 3:","4)  I am not a man of the world, but I am a man of the world.

LABEL: 2

SENTENCE",0.0,0.06,0.17,0.15
"Go downwards to one of the gates, all of which will lead you into the cathedral.","The most important directions are simply down and down leads eventually to the cathedral and fortress commanding the hilltop, and up inevitably leads to one of three gates through the","The most important directions are simply up and up leads eventually to the cathedral and fortress commanding the hilltop, and down inevitably leads to one of three gates through the",0.22,0.22,0.39,0.38
The Tamils' bhakti movement froze the previously warm ritual of Hinduism.,"The bhakti movement of the Tamils brought a new warmth to the hitherto rigid Brahmanic ritual of Hinduism.

LABEL: 3","The bhakti movement of the Tamils brought a new warmth to the hitherto rigid Brahmanic ritual of Hinduism.

LABEL: 3",0.45,0.45,0.56,0.56
Everyone involved was the same age., the things that you're going to be doing in the future and so i think that she was very much in the same situation as them and i think that she, the time that they were involved with her and she was a very young girl and i think that they were very young and i think that they were very young and,0.16,0.11,0.3,0.43
Severn said the people were not welcome there.,"I'm sorry, said Severn.

LABEL: 1

SENTENCE 1:
I'm sorry, said Severn.

","I am not a good person, said Severn.

LABEL: 1

SENTENCE 1:
I am not a good person,",0.18,0.15,0.51,0.5
We don't loan a lot of money., have a lot of control over the people that we loan the money to and so i think that's why we have a lot of problems with paying back the money," back.

SENTENCE 2:
um-hum um-hum yeah well uh i can see you know it's it's it's it's",0.3,0.0,0.42,0.16
I don't know how cold it got last night.,"i'm not sure what the overnight low was

LABEL: 1

SENTENCE 1:
i'm not sure what the overnight low was","i'm not sure what the overnight low was

LABEL: 1

SENTENCE 1:
i'm not sure what the overnight low was",0.06,0.06,0.59,0.59
I need a way to add something extra.,"i have to find a way to supplement that

LABEL: 1

SENTENCE 1:
so i have to find a way to supplement","i have to find a way to supplement that

LABEL: 1

SENTENCE 1:
i have to find a way to supplement that",0.27,0.27,0.45,0.64
Sometimes it is amusing to see what the hologram creates.,the hologram makes up all these things and uh i mean sometimes it's funny sometimes it's not but uh you know it's something to pass the time until,i mean i mean i mean i mean i mean i mean i mean i mean i mean i mean i mean i mean i mean i mean i mean i mean,0.2,0.0,0.45,0.22
Gross national saving was highest this year.,"6 The share of gross national saving used to replace depreciated capital has increased over the past 40 years.

LABEL: 2

SENTENCE","6 The share of gross national saving used to replace depreciated capital has increased over the past 40 years.

LABEL: 2

SENTENCE",0.21,0.21,0.16,0.16
The amount of lost mail is huge and really impacts mail volume,"The number of mail pieces lost to alternative bill-paying methods is too small to have any material impact on First-Class volume.

SENTENCE","The number of mail pieces lost to alternative bill-paying methods is too small to have any material impact on First-Class volume.

LABEL:",0.28,0.28,0.34,0.32
"You don't want to push the button lightly, but rather punch it hard.","you want to punch the button and go

LABEL: 2

SENTENCE 1:
you want to punch the button and go

","you want to punch the button and go

LABEL: 2

SENTENCE 1:
you want to punch the button and go

",0.35,0.35,0.48,0.48
It has a buffet.,"Buffet and a  la carte available.

LABEL: 1

SENTENCE 3:
Buffet and a  la carte","Buffet and a  la carte available.

LABEL: 1

SENTENCE 1:
Buffet and a  la carte",0.21,0.21,0.51,0.54
Clinton said that Monica Lewinsky made unwanted sexual advances during her time as a journalist in the White House. ,"Blue says Blumenthal said Clinton had told him that Lewinsky had made unwanted sexual advances.

LABEL: 2

SENTENCE 3:","Blue says Blumenthal claimed Clinton had told him that Lewinsky had made unwanted sexual advances.

LABEL: 2

SENTENCE 1:",0.37,0.37,0.22,0.2
Leading organizations want to be sure their employees are safe.,"We also have found that leading organizations strive to ensure that their core processes efficiently and effectively support mission-related outcomes.

SENTENCE 1:
We","We also have found that leading organizations strive to ensure that their core processes efficiently and effectively support mission-related outcomes.

SENTENCE 1:
We",0.24,0.24,0.22,0.22
