completion,generated_general_completion,generated_guided_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
The carrot had a hole.,"I stuck a pin through a carrot. When I pulled the pin out, it had a hole.

LABEL: 2

SENTENCE 1","I stuck a pin through a carrot. When I pulled the pin out, it had a hole.

LABEL: 2

SENTENCE 1",0.31,0.31,0.35,0.35
John is so short.,"John couldn't see the stage with Billy in front of him because he is so short.

LABEL: 2

SENTENCE 3:
","John couldn't see the stage with Billy in front of him because he is so short.

LABEL: 2

SENTENCE 1:
",0.32,0.32,0.3,0.3
The police were trying to stop the drug trade in the neighborhood.,"The police arrested all of the gang members. They were trying to stop the drug trade in the neighborhood.

LABEL: 2

SENTENCE","The police arrested all of the gang members. They were trying to stop the drug trade in the neighborhood.

LABEL: 2

SENTENCE",0.71,0.71,0.46,0.46
Steve influences him hugely.,"Steve is a good example of how to influence others. He is a good example of how to influence others.

LABEL: 1

SENT","Steve is a very good example of a person who influences others.

LABEL: 1

SENTENCE 1:
Steve is a very good",0.07,0.16,0.55,0.43
"mother was careful not to disturb her, undressing and climbing back into her berth.","When Tatyana reached the cabin, her mother was sleeping. She was careful not to disturb her, undressing and climbing back into her berth.
","When Tatyana reached the cabin, her mother was sleeping. She was careful not to disturb her, undressing and climbing back into her berth.
",0.76,0.76,0.72,0.72
George was particularly eager to see it.,"George gave the tickets to Eric, because he was particularly eager to see the play.

LABEL: 1

SENTENCE 3:
George","George got free tickets to the play, but he gave them to Eric, because he was particularly eager to see it.

SENTENCE 1:
",0.44,0.47,0.41,0.52
John was very impressive.,"John was jogging through the park when he saw a man juggling watermelons. He was very impressive.

LABEL: 1

S","John was jogging through the park when he saw a man juggling watermelons. He was very impressive.

LABEL: 1

S",0.33,0.33,0.28,0.28
The pot was too tall.,"I put the pot on the shelf because it was too tall.

LABEL: 2

SENTENCE 1:
I put the pot on","I couldn't put the pot on the shelf because it was too tall.

LABEL: 2

SENTENCE 1:
I couldn't",0.38,0.38,0.43,0.34
There were simply not enough copies of the newsletter.,"We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply not enough of them.

LABEL:","We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply not enough of them.

LABEL:",0.35,0.35,0.37,0.37
The judges were so advanced.,"The judges were impressed by the chatbots' ability to understand the human language.

LABEL: 1

SENTENCE 3:
The","The judges were impressed by the chatbots' ability to understand the context of the conversation.

LABEL: 1

SENTENCE 1:",0.26,0.25,0.15,0.22
I took the water bottle out of the backpack so that the backpack would be lighter.,"I took the water bottle out of the backpack so that it would be lighter.

LABEL: 2

SENTENCE 1:
I took","I took the water bottle out of the backpack so that it would be lighter.

LABEL: 2

SENTENCE 1:
I took",0.76,0.76,0.43,0.43
The table is too narrow.,"The table won't fit through the doorway because it is too narrow.

LABEL: 1

SENTENCE 1:
The table won't","The table won't fit through the doorway because it is too narrow.

LABEL: 1

SENTENCE 1:
The table won't",0.38,0.38,0.33,0.33
I took the water bottle out of the backpack so that the backpack would be handy.,"I took the water bottle out of the backpack so that it would be handy.

LABEL: 1

SENTENCE 1:
I took","I took the water bottle out of the backpack so that it would be handy.

LABEL: 1

SENTENCE 1:
I took",0.76,0.76,0.44,0.44
The police were coming from so far away.,"The firemen arrived after the police because they were coming from so far away.

LABEL: 1

SENTENCE 1:
The fire","The firemen arrived after the police because they were coming from so far away.

LABEL: 1

SENTENCE 1:
The fire",0.57,0.57,0.36,0.36
Dad could not help him now.,"Larry had helped Dad with his work. But he could not help him now, for Dad said that his boss at the railroad company would not want anyone but","Larry had helped Dad with his work. But he could not help him now, for Dad said that his boss at the railroad company would not want anyone but",0.34,0.34,0.34,0.34
The cup was empty.,"I poured water from the bottle into the cup until it was empty.

LABEL: 1

SENTENCE 1:
I poured water from","I poured water from the bottle into the cup until it was empty.

LABEL: 1

SENTENCE 1:
I poured water from",0.32,0.32,0.36,0.36
The cake has a lot of butter in it.,"I put the cake away in the refrigerator. It has a lot of butter in it.

LABEL: 2

SENTENCE 1:
","I put the cake away in the refrigerator. It has a lot of butter in it.

LABEL: 2

SENTENCE 1:
",0.62,0.62,0.44,0.44
Lionel plans to use it on Geoffrey and send Lionel to steal nuclear material from an army vault.,"Lionel is holding captive a scientist, Dr. Vardi, who has invented a device that turns animals invisible; Lionel plans to use it on Geoffrey","Lionel is holding captive a scientist, Dr. Vardi, who has invented a device that turns animals invisible; Lionel plans to use it on Geoffrey",0.33,0.33,0.4,0.4
The foxes have gotten very bold.,"The foxes are getting in at night and attacking the chickens. They have gotten very bold.

LABEL: 2

SENTENCE 3:","The foxes are getting in at night and attacking the chickens. They have gotten very bold.

LABEL: 2

SENTENCE 1:",0.46,0.46,0.42,0.41
"The piano was broken, so he had to stand instead.","Sam pulled up a chair to the piano, but it was broken, so he had to stand instead.

LABEL: 1

SENTENCE","Sam pulled up a chair to the piano, but it was broken, so he had to stand instead.

LABEL: 1

SENTENCE",0.65,0.65,0.47,0.47
Susan did not get an answer.,"Jane knocked on Susan's door but she did not get an answer.

LABEL: 1

SENTENCE 1:
Jane knocked on Susan","Jane knocked on Susan's door but she did not get an answer.

LABEL: 1

SENTENCE 1:
Jane knocked on Susan",0.44,0.44,0.53,0.53
