completion,generated_general_completion,generated_guided_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
"This was a series of nested polar scales , so that measurements in azimuth and elevation could be performed directly in angular coordinates relative to the ecliptic .","The angular measurements were made with a series of nested angular standards, so that measurements in azimuth and elevation could be done directly in polar coordinates relative to the eclipt","The angular standards were mounted on a rotating platform, so that the observer could rotate the platform to any desired position in the sky.

LABEL: 1",0.68,0.23,0.66,0.19
"His father emigrated to America in 1868 , but returned when his wife became ill and before the rest of the family could go to Missouri .","His father emigrated to Missouri in 1868 but returned when his wife became ill and before the rest of the family could also go to America.

LABEL","His father emigrated to Missouri in 1868 but returned when his wife became ill and before the rest of the family could also go to America.

LABEL",0.88,0.88,0.69,0.69
"In January 2011 , FIBA Asia deputy secretary general Hagop Khajirian along with SBP president Manuel V. Pangilinan inspected the venue .","The venue was ready for the FIBA Asia Championship.

LABEL: 2

SENTENCE 1:
In January 2011, the Deputy","The venue was officially opened by the President of the Philippines, Benigno S. Aquino III.

LABEL: 2

SENTENCE",0.21,0.11,0.19,0.1
"Steiner held that the spiritual world can be researched in the right circumstances through direct experience , by persons practicing rigorous forms of ethical and cognitive self-discipline .","Steiner argued that, in the right circumstances, the spiritual world can be explored through direct experience by practicing ethical and cognitive forms of rigorous self-discipline.","Steiner argued that, in the right circumstances, the spiritual world can be explored through direct experience by practicing ethical and cognitive forms of rigorous self-discipline.",0.64,0.64,0.8,0.8
Luciano Williames Dias ( born 25 July 1970 ) is a former football coach and Brazilian player .,"He is the current manager of the Brazilian national team.

LABEL: 1

SENTENCE 1:
Luciano Williames Dias (","Luciano Williames Dias ( born July 25, 1970 ) is a Brazilian football coach and former player.

LABEL: 0

SENT",0.19,0.73,0.21,0.59
"During her second , junior and senior summers , she spent half of it with her Alaska team , half playing and living in Oregon .","She spent her junior and senior summers in Oregon, and half of her sophomore summer with her Alaska team.

LABEL: 2

SENT","She spent her junior and senior summers in Alaska, and half of her sophomore summer in Oregon.

LABEL: 2

SENTENCE 1",0.5,0.47,0.36,0.28
The smallest number that can be represented as a sum of four positive seventh potences in two different ways is 2056364173794800 .,"The smallest number that can be represented in two positive and seventh ways as a sum of four different powers is 2056364173794800.

LAB","The smallest number that can be represented in two positive and seventh ways as a sum of four different powers is 2056364173794800.

LAB",0.68,0.68,0.63,0.63
His father emigrated to Missouri in 1868 but returned when his wife became ill and before the rest of the family could also go to America .,"His father emigrated to Missouri in 1868, but returned when his wife became ill and before the rest of the family could go to America.

LABEL","His father emigrated to Missouri in 1868, but returned when his wife became ill and before the rest of the family could go to America.

LABEL",0.96,0.96,0.74,0.74
"The facilities of Villa Pesquera are operated by the Municipality of Ponce , but are owned by the fishermen .","The Villa Pesquera facilities are owned by the Municipality of Ponce, but operated by the fishermen themselves.

LABEL: 1

S","The Villa Pesquera facilities are owned by the Municipality of Ponce, but operated by the fishermen themselves.

LABEL: 0

S",0.68,0.68,0.6,0.61
It is situated south of Köroğlu - mountains and north of the Bolu .,"It is situated in the south of Bolu.

LABEL: 2

SENTENCE 1:
It is situated south of Köro","It is situated south of Köroğlu Mountains and to the north of Bolu.

LABEL: 2

SENTENCE 1:",0.42,0.79,0.42,0.5
