loss,zlib,mink_0.1,mink_0.2,mink_0.3,mink_0.4,mink_0.5,mink_0.6,mink_0.7,mink_0.8,mink_0.9,mink_1.0,mink++_0.1,mink++_0.2,mink++_0.3,mink++_0.4,mink++_0.5,mink++_0.6,mink++_0.7,mink++_0.8,mink++_0.9,mink++_1.0
-2.670109272003174,-0.00839657003774583,-8.971592903137207,-7.343294143676758,-6.170506000518799,-5.384808540344238,-4.723438262939453,-4.156371116638184,-3.719454765319824,-3.3213131427764893,-2.972630023956299,-2.670109748840332,-2.111720323562622,-1.342128038406372,-0.9284167885780334,-0.6848973035812378,-0.49520212411880493,-0.34113484621047974,-0.22241978347301483,-0.11200686544179916,-0.012025240808725357,0.10416693240404129
-1.829246163368225,-0.0070901014084039735,-8.809720039367676,-6.960290431976318,-5.446159362792969,-4.469564437866211,-3.6510627269744873,-3.048527479171753,-2.637441635131836,-2.2994697093963623,-2.0377681255340576,-1.829246163368225,-1.742251992225647,-1.0280468463897705,-0.6675249338150024,-0.49159708619117737,-0.36949780583381653,-0.2783697545528412,-0.2015249878168106,-0.11994598060846329,-0.03479090332984924,0.07092157751321793
-2.93609881401062,-0.009146725277291651,-9.814597129821777,-8.171560287475586,-7.0018510818481445,-6.075179576873779,-5.308351516723633,-4.663112640380859,-4.158265590667725,-3.6778311729431152,-3.2693936824798584,-2.93609881401062,-2.2042593955993652,-1.5492072105407715,-1.138381838798523,-0.8567251563072205,-0.6459621787071228,-0.4851055145263672,-0.3597313165664673,-0.2409207820892334,-0.13064734637737274,-0.010637610219419003
-2.7458577156066895,-0.008371517425630151,-9.628220558166504,-7.931282997131348,-6.565534591674805,-5.699188709259033,-4.986411094665527,-4.3786492347717285,-3.903397560119629,-3.4419288635253906,-3.0579612255096436,-2.7458579540252686,-2.3405678272247314,-1.5951015949249268,-1.1238387823104858,-0.8417753577232361,-0.6289203763008118,-0.4688921868801117,-0.3485817313194275,-0.23716656863689423,-0.13088585436344147,-0.013838418759405613
-2.1730759143829346,-0.0071015552757612245,-8.978009223937988,-7.241149425506592,-5.7607035636901855,-4.829984664916992,-4.118844985961914,-3.538604259490967,-3.106283664703369,-2.7249138355255127,-2.419774293899536,-2.1730759143829346,-2.0057997703552246,-1.2885806560516357,-0.8507111072540283,-0.6160610318183899,-0.4458847641944885,-0.3176129162311554,-0.22112087905406952,-0.1272261142730713,-0.03713282197713852,0.07124821096658707
-3.1946861743927,-0.010109766374660444,-10.725238800048828,-8.682761192321777,-7.388343334197998,-6.553102493286133,-5.787360191345215,-5.089882850646973,-4.5387678146362305,-4.002438068389893,-3.557633876800537,-3.1946861743927,-2.1631295680999756,-1.5187411308288574,-1.0784752368927002,-0.8116405010223389,-0.6175752282142639,-0.46613210439682007,-0.34967440366744995,-0.23762907087802887,-0.12749865651130676,-0.00590207614004612
-2.209301233291626,-0.006422387306080308,-9.491826057434082,-7.425515651702881,-6.0226521492004395,-5.074029445648193,-4.282228946685791,-3.6426310539245605,-3.1742377281188965,-2.774961233139038,-2.460719347000122,-2.209301471710205,-2.0343215465545654,-1.2503451108932495,-0.826770007610321,-0.6060754656791687,-0.44948720932006836,-0.33073514699935913,-0.23898066580295563,-0.14737297594547272,-0.05437849834561348,0.06249900907278061
-3.18794322013855,-0.009240415130836377,-10.31753921508789,-8.865560531616211,-7.624917507171631,-6.62480354309082,-5.775749206542969,-5.050441265106201,-4.500848770141602,-3.991889476776123,-3.5503580570220947,-3.1879420280456543,-2.4730870723724365,-1.7748092412948608,-1.3553712368011475,-1.0377577543258667,-0.798964262008667,-0.6210744976997375,-0.479084849357605,-0.3424379229545593,-0.2094341218471527,-0.07457375526428223
-2.425624370574951,-0.006832744705844933,-9.157665252685547,-7.4627838134765625,-6.003000736236572,-5.15694522857666,-4.465837478637695,-3.9023818969726562,-3.454874277114868,-3.0389957427978516,-2.7008962631225586,-2.4256246089935303,-1.805533528327942,-1.139491319656372,-0.8117715716362,-0.6138458251953125,-0.4590349495410919,-0.3345426023006439,-0.23734894394874573,-0.1441785991191864,-0.051679689437150955,0.05311451107263565
-2.816457509994507,-0.00888472400629182,-8.892878532409668,-7.6111321449279785,-6.735198974609375,-5.929011344909668,-5.191282749176025,-4.554821014404297,-4.0132527351379395,-3.5315167903900146,-3.13641619682312,-2.816457748413086,-2.24007248878479,-1.4534368515014648,-1.0807709693908691,-0.8181003332138062,-0.6221158504486084,-0.47238343954086304,-0.3565768599510193,-0.2474563717842102,-0.13804641366004944,-0.006921730469912291
