completion,generated_general_completion,generated_guided_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
The day of the passage is usually when Christians praise the lord together," is as follows:

SENTENCE 2:
The iPhone 8 is the most anticipated smartphone of the year. It is expected to be released in September"," Samsung Galaxy S8 and S8 Plus.

SENTENCE 2:
The iPhone 8 and iPhone 8 Plus are the most popular posts of the last",0.22,0.17,0.19,0.3
No children were killed in the accident.," The Associated Press. All rights reserved.

SENTENCE 2:
By The Associated Press WELLINGTON, New Zealand (AP) — All passengers"," in a lagoon in the Federated States of Micronesia.

SENTENCE 2:
The plane was carrying about 50 people, including crew",0.08,0.15,0.24,0.13
Japanese like kit kat. ," Japan in the early 1990s.

SENTENCE 2:
The Kit Kat chocolate bar is a popular snack in Japan.

SENTENCE",", and the company is hoping to sell them at a premium price.

SENTENCE 2:
The Kit Kat is a chocolate bar made by Nest",0.17,0.14,0.43,0.13
Law enforcement officers and the people at the Travis St. memorial do not show their support at the same time.," last week.

SENTENCE 2:
The governor is asking law enforcement officers to turn on red and blue flashing lights for one-minute at 10"," intervals of one minute.

SENTENCE 2:
The governor is asking law enforcement officers to turn on red and blue flashing lights for one-minute",0.23,0.18,0.2,0.3
Pietro Grassano was once the country head for France.," of the company's European equities business.

SENTENCE 2:
J.P. Morgan Asset Management, a unit of JPMorgan Chase","

SENTENCE 2:
The French government has said it will not allow the country to be used as a base for the European Central Bank's new",0.07,0.17,0.15,0.21
Fresca Opera is a unique type of music.," way back in the days of the Renaissance.

SENTENCE 2:
Fresca Opera presents Opera Storytellers! Opera is a series of","

SENTENCE 2:
The opera storytellers are a group of singers who perform operas in a unique way. They sing the opera in",0.36,0.2,0.27,0.37
U.S. stocks fell on Wednesday because of the Federal Reserve's stimulus measures,", at 1,734.98. The Nasdaq Composite Index was down 18.92 points, or 0.47 percent, at 3,","'s S&P 500 index was down 13.88 points, or 0.82 percent, at 1,733.88. The Nasdaq Com",0.06,0.11,0.19,0.15
Chinese workers were forced to evacuate in Libya.,"

SENTENCE 1:
The evacuation of Chinese workers in Libya highlights Beijing”s vulnerabilities as it partners with oil-rich regimes. Upheaval",,0.28,0.0,0.26,-0.01
The victims of the accident flipped over with the car before it crashed and they were injured.,". One was taken to the hospital with serious injuries. The other was treated and released.

SENTENCE 2:
The driver of the vehicle was"," flipped over. The driver and passenger were taken to the hospital.

SENTENCE 2:
The driver and passenger were taken to the hospital.
",0.2,0.26,0.19,0.45
LONDON contains no z, Evans)," for the 2068 gilt.

SENTENCE 2:
The 2068 gilt is a 20-year bond with a coupon of 4.",0.0,0.0,0.02,0.26
Along the intersection of two roads a civilian had been shot says the police.This happened on a weekday,Authorities say one person has been shot Tuesday night in northwest Oklahoma City. Police say one victim was transported emergency status to a local hospital after being shot near the,"

SENTENCE 2:
Authorities say one person has been shot Tuesday night in northwest Oklahoma City. Police say one victim was transported emergency status to",0.16,0.14,0.32,0.3
The Red Devils are not number 1, pressure on the ball and we didn't do it. We conceded two goals and we have to be more careful. We have to be more careful in the final,".

SENTENCE 2:
The Red Devils can now no longer finish in the top four and must win the Europa League final against Ajax to",0.05,0.19,0.27,0.21
Wan Chai Sports Ground has a s," and the public interest before making a decision on the redevelopment.

SENTENCE 2:
The consultation on the redevelopment of Wan Chai Sports"," stage.

SENTENCE 2:
The consultation on the redevelopment of Wan Chai Sports Ground has been conducted, Secretary for Home Affairs Lau Kong",0.21,0.34,0.39,0.31
“Basketball Wives” is an unscripted show., More »," Ep. 20: Angela Simmons Talks Return To Reality TV

SENTENCE 2:
The “Basketball Wives” finale was a big one",0.0,0.16,0.17,0.26
The bulls are intact.,"The recent strength in the US dollar index has resulted in gold breaking below the key support level at US$1,300. The psychological round number area was particularly","ENCE:

SENTENCE 1:
THE recent strength in the US dollar index has resulted in gold breaking below the key support level at US$1",0.06,0.07,0.14,0.12
Quincy thinks Eagles will win.,".

SENTENCE 2:
Jemele Hill is a black woman who is a journalist. She is a black woman who is a journalist.","featured in the Philadelphia Inquirer.

SENTENCE 2:
I’m not going to win. I’m not going to win",0.0,0.08,0.26,0.27
Miller went to the Rangers in February.,", and he'll be asked to do more than just score goals.

SENTENCE 2:
Miller has one goal and two assists working against a"," up to the challenge.

SENTENCE 2:
Miller has one goal and two assists working against a minus-2 rating through a pair of preseason",0.06,0.13,0.13,0.18
The person that sent in what it looked like over the weekend was not headed north. ," injuries were not reported.

SENTENCE 2:
The fire was reported at around 12:30 p.m. and was quickly extinguished."," thanking the public for their assistance.

SENTENCE 2:
The fire was reported at 12:30 p.m. and was under control",0.11,0.16,0.25,0.17
