loss,zlib,mink_0.1,mink_0.2,mink_0.3,mink_0.4,mink_0.5,mink_0.6,mink_0.7,mink_0.8,mink_0.9,mink_1.0,mink++_0.1,mink++_0.2,mink++_0.3,mink++_0.4,mink++_0.5,mink++_0.6,mink++_0.7,mink++_0.8,mink++_0.9,mink++_1.0
-2.8404319286346436,-0.01543713004692741,-9.201225280761719,-8.27332592010498,-7.092496395111084,-6.119053840637207,-5.313446044921875,-4.633243560791016,-4.060712814331055,-3.5850841999053955,-3.1943414211273193,-2.8404321670532227,-2.225229263305664,-1.6500003337860107,-1.2872980833053589,-0.9740782380104065,-0.7552109956741333,-0.589445173740387,-0.4520444869995117,-0.33041349053382874,-0.20987346768379211,-0.06822656840085983
-2.8102943897247314,-0.015273339074590931,-8.891695022583008,-8.109821319580078,-6.983492374420166,-6.037301540374756,-5.248044013977051,-4.57180643081665,-4.010711669921875,-3.5455405712127686,-3.1603221893310547,-2.8102946281433105,-2.12091064453125,-1.5978411436080933,-1.2525253295898438,-0.948067307472229,-0.7330583333969116,-0.5688967108726501,-0.43292945623397827,-0.3105130195617676,-0.19490133225917816,-0.057087745517492294
-2.5916731357574463,-0.014894673194008312,-8.877449989318848,-7.667415142059326,-6.511566638946533,-5.62703275680542,-4.845658302307129,-4.261690616607666,-3.70548415184021,-3.253542184829712,-2.8873322010040283,-2.5916731357574463,-1.6196409463882446,-1.2166413068771362,-0.8575700521469116,-0.6226407289505005,-0.46211951971054077,-0.35385647416114807,-0.2475098967552185,-0.1525288075208664,-0.05617005378007889,0.06009521335363388
-2.566256523132324,-0.014748600707657036,-8.518693923950195,-7.499995708465576,-6.402380466461182,-5.546023368835449,-4.781266689300537,-4.203672885894775,-3.6616580486297607,-3.220630407333374,-2.8589589595794678,-2.566256284713745,-1.5123931169509888,-1.1665924787521362,-0.824929416179657,-0.5975925326347351,-0.44116830825805664,-0.334703266620636,-0.229069322347641,-0.13400717079639435,-0.04046044871211052,0.07303808629512787
-2.5589311122894287,-0.014622463498796735,-9.616209983825684,-8.401839256286621,-6.865301132202148,-5.793185234069824,-4.853724479675293,-4.20463752746582,-3.679927349090576,-3.2039756774902344,-2.868474245071411,-2.5589306354522705,-1.9481838941574097,-1.458171010017395,-1.0447745323181152,-0.7799602150917053,-0.5780000686645508,-0.44248971343040466,-0.32726433873176575,-0.21297259628772736,-0.11123854666948318,0.020544108003377914
-2.5331013202667236,-0.014474864687238421,-9.37792682647705,-8.245107650756836,-6.765563488006592,-5.717522144317627,-4.7937116622924805,-4.149385452270508,-3.63773512840271,-3.1706464290618896,-2.839477062225342,-2.5331013202667236,-1.8534742593765259,-1.4108160734176636,-1.0146396160125732,-0.7568657398223877,-0.5581636428833008,-0.42341509461402893,-0.31051358580589294,-0.19332121312618256,-0.09549104422330856,0.03326807916164398
-2.671100616455078,-0.016188488584576232,-9.616375923156738,-8.46641731262207,-7.146971225738525,-6.065485954284668,-5.067260265350342,-4.393139362335205,-3.840919256210327,-3.343275785446167,-2.994091510772705,-2.6711010932922363,-2.801543712615967,-1.8767517805099487,-1.3798630237579346,-1.0585201978683472,-0.8039669990539551,-0.6377258896827698,-0.5007045269012451,-0.3685667812824249,-0.2552303075790405,-0.11262143403291702
-2.6488990783691406,-0.01605393380829782,-9.539875984191895,-8.349079132080078,-7.072302341461182,-6.008840084075928,-5.022862434387207,-4.34345817565918,-3.80216908454895,-3.314336061477661,-2.969160795211792,-2.6488993167877197,-2.733572244644165,-1.8427660465240479,-1.3582358360290527,-1.0421793460845947,-0.7899706363677979,-0.6240086555480957,-0.48706525564193726,-0.3528665006160736,-0.24322561919689178,-0.10379054397344589
-2.492523670196533,-0.015481513479481573,-8.950167655944824,-7.830855846405029,-6.617829322814941,-5.574390888214111,-4.747858047485352,-4.093695640563965,-3.574763059616089,-3.1527230739593506,-2.808260202407837,-2.4925239086151123,-1.600008249282837,-1.2205811738967896,-0.934328556060791,-0.6935715079307556,-0.5250611305236816,-0.3953475058078766,-0.2862940728664398,-0.18533243238925934,-0.08454011380672455,0.0477600023150444
-2.492523670196533,-0.015481513479481573,-8.950167655944824,-7.830855846405029,-6.617829322814941,-5.574390888214111,-4.747858047485352,-4.093695640563965,-3.574763059616089,-3.1527230739593506,-2.808260202407837,-2.4925239086151123,-1.600008249282837,-1.2205811738967896,-0.934328556060791,-0.6935715079307556,-0.5250611305236816,-0.3953475058078766,-0.2862940728664398,-0.18533243238925934,-0.08454011380672455,0.0477600023150444
