completion,generated_general_completion,generated_guided_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
Weapons of Mass Destruction Found in Iraq.,"Iraqi Government Has Not Been Able to Prove That Weapons of Mass Destruction Were Found in Iraq.

LABEL: 2

SENTENCE 3","No Weapons of Mass Destruction Found in Iraq Yet.

LABEL: 2

SENTENCE 3:
No Weapons of Mass Destruction Found in Iraq",0.5,0.5,0.24,0.64
Pope Benedict XVI is the new leader of the Roman Catholic Church.,"The new Pope, Benedict XVI, is the first German to lead the Roman Catholic Church.

LABEL: 1

SENTENCE 3:
","The Pope’s visit to Chicago was the first time a pontiff had visited the city since the death of Pope John Paul II in 2005.

",0.58,0.16,0.32,0.32
Herceptin can be used to treat breast cancer.,"The company said it will discuss with federal regulators the possibility of prescribing the drug for more breast cancer patients.

LABEL: 1

SENTENCE","Herceptin was already approved to treat the sickest breast cancer patients, and the company said, Monday, it will discuss with federal regulators the possibility of prescribing",0.13,0.29,0.08,0.45
The previous name of Ho Chi Minh City was Saigon.,The Vietnam Heart Institute is a 2-year-old medical service company that helps sustain the 2-year-old Vietnam Heart Institute in Ho Chi Minh City,The Vietnam Heart Institute is a 2-year-old medical service company that helps sustain the 2-year-old Vietnam Heart Institute in Ho Chi Minh City,0.27,0.27,0.35,0.35
Paul Stewart Hutchinson is accused of having stabbed a girl.," was arrested in March last year and charged with her murder. He has pleaded not guilty.

SENTENCE 2:
The man accused of murdering Co",".

SENTENCE 2:
The man is due in court later charged with the murder 26 years ago of a teenager whose case was the first to",0.12,0.17,0.21,0.19
"Bakri was briefly detained, but was released.","Britain said, Friday, that it has barred cleric, Omar Bakri, from returning to the country from Lebanon, where he was released by police after being detained","Britain said, Friday, that it has barred cleric, Omar Bakri, from returning to the country from Lebanon, where he was released by police after being detained",0.18,0.18,0.44,0.44
Three quarters of U.S. illegal immigrants have children.," immigrants were born in the United States, the study found.

SENTENCE 2:
The study found that the number of children of illegal immigrants born"," the study.

SENTENCE 2:
Nearly 4 million children who have at least one parent who entered the U.S. illegally were born in",0.18,0.12,0.44,0.34
Aristide had Prime Minister Robert Malval  murdered in Port-au-Prince.,The United States is also dismayed that Aristide killed a conference called by Prime Minister Robert Malval in Port-au-Prince in hopes of bringing all the,The United States is also dismayed that Aristide killed a conference called by Prime Minister Robert Malval in Port-au-Prince in hopes of bringing all the,0.47,0.47,0.33,0.33
Dick Cheney was the Vice President of Bush.," Secretary Donald Rumsfeld and then-CIA Director George Tenet were also involved in the decision-making process.

SENTENCE 2:
The"," the time, the memos were widely viewed as a major victory for the Bush administration's aggressive approach to fighting terrorism.

SENTENCE 2:
WASHINGTON",0.07,0.12,-0.01,0.08
Microsoft's Hotmail has raised its storage capacity to 250MB.,"The company also said it would offer a free e-mail service for students at the University of Michigan, where it has a campus.

LABEL:","The company said it would also increase the number of e-mail accounts that can be stored in the service from five to 10.

LABEL: 1",0.06,0.06,0.17,0.14
Lina Joy's parents are from Malaysia.," original name.

SENTENCE 2:
Joy's conversion to Christianity was not recognized by the Malaysian government, and she was forced to live under the","Kad, her name remained Azlina Jailani.

SENTENCE 2:
Lina Joy, 42, was born Azlina Jail",0.13,0.18,0.08,0.47
The Berlin Wall was torn down in 1989.," communist regimes .

SENTENCE 2:
The fall of the Berlin Wall was a turning point in the history of the world .

SENT"," known as the Horn's Plan .

SENTENCE 2:
The Horn's Plan was a 400-mile end run around the Berlin Wall .
",0.34,0.2,0.31,0.24
"Valero Energy Corp. produces 250,000 barrels per day.","The company said it was still assessing the extent of the damage.

LABEL: 1

SENTENCE 3:
The company said it was","The company said it was still assessing the extent of the damage.

LABEL: 1

SENTENCE 3:
The company said it was",0.0,0.0,0.2,0.2
Oil prices rise.,"Oil prices fall back as Yukos oil threat lifted

LABEL: 2

SENTENCE 3:
Oil prices fall back as Yukos oil","Oil prices fall back as Yukos oil threat lifted

LABEL: 2

SENTENCE 3:
Oil prices fall back as Yukos oil",0.17,0.17,0.4,0.4
"The quarterback threw for 413 yards and three touchdowns, and then ran to the end zone two more times.","The Cardinals (7-2) have won three straight games and are ranked No. 10 in the BCS standings.

LABEL: 2

","The Cardinals (7-2, 5-1 Pac-12) have won five straight games and are in position to win the Pac-12 South for the",0.21,0.18,0.2,0.08
Greg Page was a WBA champion.,"th round.

SENTENCE 2:
The former heavyweight boxing champion Greg Page has died at 50. His wife Patricia said the one-time W"," fight with Evander Holyfield in Las Vegas. He was taken off life support on 10 March.

SENTENCE 2:
The former heavyweight boxing",0.14,0.07,0.25,0.16
"Sierra once reached the finals of ""American Idol""."," from.

SENTENCE 2:
Sierra is likely to remain in jail at the Hillsborough County jail in her native Tampa until her next hearing"," at a Tampa nightclub.

SENTENCE 2:
Sierra is likely to remain in jail at the Hillsborough County jail in her native Tampa until",0.13,0.13,0.15,0.24
In the early 1990s Brazil began to take action to save the rainforest.,"In addition, Brazil has taken steps to reduce the destruction, including stepped-up enforcement and the elimination of tax incentives that led to large-scale land clearing.","Since 1987, however, Brazil has taken steps to dramatically reduce the destruction, including stepped-up enforcement and the elimination of tax incentives that led to large-scale",0.2,0.15,0.35,0.28
Sepp Blatter is the president of FIFA.," the country that has the most bids.

SENTENCE 2:
The United States has received the most bids to host the 2018 and 2022 FIFA World","Netherlands and Germany-France.

SENTENCE 2:
The FIFA World Cup 2018 will be held in Russia, while the FIFA World Cup",0.12,0.14,0.27,0.18
"Crude the light American lowered to the closing 1.32 dollars, to 42.83 dollars the barrel.","U.S. crude settled $1.32 lower at $42.83 a barrel.

LABEL: 2

SENTENCE 3:","U.S. crude settled $1.32 lower at $42.83 a barrel.

LABEL: 2

SENTENCE 3:",0.36,0.36,0.37,0.37
In 2002 near Stuttgart a boy shot 16 people.,".

SENTENCE 2:
The gunman, who was identified as a 17-year-old student, was shot dead by police after he killed"," a school in Munich in 2006, reeling.

SENTENCE 2:
The gunman, who was identified as a 17-year-old student,",0.13,0.14,0.17,0.15
Everglades National Park is located in Florida.,"The sale of the holdings in Palm Beach and Hendry counties is expected to raise $1.5 billion for Everglades restoration.

LABEL:","The sale of the holdings is expected to raise $1.5 billion for the park.

LABEL: 2

SENTENCE 3:
",0.07,0.08,0.1,0.03
