completion,generated_general_completion,generated_guided_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
"If a substance has a ph value greater than 7,that indicates that it is base.","Based on the list provided of the uses of substances 1-7, estimate the pH of each unknown and record the number in the data table in the estimated pH","The pH of the unknown substance is:

SENTENCE 1:
Based on the list provided of the uses of substances 1-7, estimate the",0.04,0.1,0.4,0.27
Invertebrates (and higher animals) can also be placed in one of two groups based on how they develop as embryos.,"If one or two base pairs are changed (mutated), the embryo will fail to develop properly.

LABEL: neutral

SENTENCE 3","If one or two base pairs are changed (mutated), the embryo will fail to develop properly.

LABEL: neutral

SENTENCE 1",0.15,0.15,0.18,0.18
Gases and liquids become solids at low temperatures.,"At high temperatures, the solid dye converts into a gas without ever becoming a liquid.

LABEL: neutral

SENTENCE 3:
At","The solid dye converts into a gas without ever becoming a liquid.

LABEL: neutral

SENTENCE 1:
At high temperatures, the",0.14,0.14,0.15,0.23
The behavior of ideal gases is explained by kinetic molecular theory.,"The kinetic theory of gases is based on the idea that gases are made up of particles that move randomly.

LABEL: neutral

SENTENCE","The gas molecules are moving in a straight line.

LABEL: neutral

SENTENCE 3:
The gas molecules are moving in a straight",0.24,0.06,0.23,0.41
Gabbro is a dark dense rock that can be found in the oceanic crust.,"The continental crust is less dense than the mantle.

LABEL: neutral

SENTENCE 3:
The continental crust is less dense than the","The continental crust and the oceanic crust are less dense than the mantle.

LABEL: neutral

SENTENCE 1:
The continental crust",0.23,0.18,0.33,0.31
Angiosperms are the most successful phylum of plants.,"The phylum for common marigolds is angiosperms.

LABEL: neutral

SENTENCE 3:
The phylum for","The phylum for common marigolds is angiosperms.

LABEL: neutral

SENTENCE 1:
The phylum for",0.27,0.27,0.24,0.23
Lyme disease is caused by bacteria.,"The bacterium is transmitted by tick bite, but many infected people don't remember a bite.

LABEL: entails

SENTENCE 3:
","Lyme  Disease is caused by a bacterium that's transmitted by tick bite, but many infected people don't remember a bite.

LABEL:",0.15,0.34,0.07,0.41
All of the petals together are called a corolla.,"The corolla is the part of a flower that contains the petals.

LABEL: is a part of

SENTENCE 3:
","The corolla is the part of a flower that contains the stamens and pistils.

LABEL: does not entail

SENTENCE 1",0.29,0.14,0.3,0.2
A(n) polyploid is an individual with more than the correct number of chromosome sets.,"A polyploid is simply an organism that contains more than the usual two sets of chromosomes.

LABEL: entails

SENTENCE 1:
","A polyploid is simply an organism that contains more than the usual two sets of chromosomes.

LABEL: entails

SENTENCE 1:
",0.46,0.46,0.27,0.27
Diabetes is unpreventable in the type one form but may be prevented by diet if it is of the second type.,"If you know your child is at special risk for type 1 diabetes, you may wish to focus on prevention only.

LABEL: neutral

S","The risk of type 1 diabetes is increased in children who have a family history of the disease.

LABEL: positive

SENTENCE 1:",0.13,0.23,0.22,0.24
The gallbladder is near the right lobe of the liver.,"The liver is divided into the right lobe and left lobes.

LABEL: neutral

SENTENCE 3:
The right lobe is further divided","The liver is divided into the right lobe and left lobes.

LABEL: neutral

SENTENCE 1:
The liver is divided into the",0.39,0.45,0.31,0.28
Nematodes can be a parasite of both.,"This can be dangerous to both plants and animals.

LABEL: neutral

SENTENCE 3:
This can be dangerous to both plants and","The plant is a member of the family Asteraceae.

LABEL: neutral

SENTENCE 1:
This can be dangerous to both plants",0.21,0.22,0.38,0.38
Backbone is another name for the vertebral column.,"Vertebrates are named for vertebrae, the series of bones that make up the vertebral column or backbone.

LABEL: entails

SENT","Vertebrates are named for vertebrae, the series of bones that make up the vertebral column or backbone.

LABEL: does not entail

",0.29,0.28,0.13,0.24
Terrestrial biomes are classified by climatic factors and types of primary producers.,"Ecoregions are classified by biome type, which are the major global plant communities determined by rainfall and climate.

LABEL: neutral

","The Ecoregions of the world are classified by biome type, which are the major global plant communities determined by rainfall and climate.

LABEL",0.25,0.23,0.36,0.33
A neutron collides with an atom of u-235 during the basic nuclear fission process.,"It is the diametrically opposite process of nuclear fission, in which an atom of the heavy isotope Uranium-238 is split in a collision with an","The process of nuclear fission is the splitting of an atom into two or more pieces.

LABEL: fission

SENTENCE 1:
The",0.2,0.17,0.34,0.18
The eighth planet from our sun is neptune.,"Neptune will be the farthest planet from the Sun until 1999.

LABEL: Neptune will be the farthest planet from the Sun","Neptune will be the farthest planet from the Sun until 1999.

LABEL: neutral

SENTENCE 1:
Neptune",0.34,0.42,0.55,0.3
When liquid water changes to water vapor it is called evaporation.,"evaporation

LABEL: is

SENTENCE 3:
evaporation

LABEL: is

SENTENCE 4:
","evaporation

LABEL: entails

SENTENCE 3:
evaporation ---process by which water is changed from a liquid into a vapor.",0.19,0.14,0.52,0.53
"Each species has a particular way of making a living, which is called its niche.","Niche An organism's niche is its unique role  or &quot;way of making a living&quot; in the environment.

LABEL:","The niche of a species is its unique role in the environment.

LABEL: entails

SENTENCE 3:
The niche of a species",0.28,0.28,0.51,0.39
